flow,retiring_code,queue_row,retiring_description,leftover_line,leftover_description,leftover_last_traded,months_apart,same_wording_restarts,codes_starting_next_month,why_unresolved
imports,3004.90.99.71,112,"Cough/cold preparations, for human use, in dosage",3004909979,"Medicaments, prim affecting eyes,ears & respiratory system,human use, in dos,nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3002.10.10.21,117,"Blood plasma, for therapeutic or prophylactic use in humans",3002101029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",1997-12,0,3002100029,9,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.90.99.82,118,"Medicaments affecting electrolytic, caloric/water balance, for human use, in dos",3004909989,"Medicaments nes, for human use, in dosage",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.22,121,"Laxatives, for human use, in dosage",3004909929,"Gastro-intestinal agents, for human use, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.23,123,"Antacids, for human use, in dosage",3004909929,"Gastro-intestinal agents, for human use, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.14,126,"Antihistamines agents, for human use, in dosage",3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.81,131,"Diuretics, for human use, in dosage",3004909989,"Medicaments nes, for human use, in dosage",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3002.10.10.23,148,"Immune serum globulin, for therapeutic or prophylactic use in humans",3002101029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",1997-12,0,3002100029,9,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.90.99.16,150,"Local anaesthetics, for human use, in dosage",3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3002.10.10.22,154,"Normal serum globulin, for therapeutic or prophylactic use in humans",3002101029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",1997-12,0,3002100029,9,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.50.99.41,159,"Vitamins-iron preparation, for human use, in dosage",3004509949,"Multivitamins mixed with other supplements, nes, for human use, in dosage,",1997-12,0,,6,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.41,160,"Anti-infective agents, containing sulfonamides, for human use, in dosage",3004909949,"Anti-infective agents, for human use, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.91,174,"Anaesthetic, for veterinary use, in dosage",3004909999,"Medicaments nes, for veterinary use, in dosage",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.84,183,"Medicaments cont hyaluronic acid or its sodium salt, for human use, in dosage",3004909989,"Medicaments nes, for human use, in dosage",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3002.90.10.11,199,Ricin,3002901019,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",1997-12,0,3002900019,3,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
