retiring_code,flow,last_period,boundary,total_value_cad,description,deciding_layer,outcome,official_destinations,n_official,candidates_before,candidates_after,n_after,official_outside_structural_field,at_hs_revision_boundary,note
3002310000,imports,199507,199508,671805.00,"Vaccines against foot or mouth disease, veterinary use",none,silent_no_source,,0,77,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002101010;3002101021;3002101022;3002101023;3002101029;3002101090;3002102110;3002102120;3002102190;3002102910;3002102990;3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200020;3002200030;3002200090;3002300010;3002300090;3002301000;3002309000;3002391000;3002399000;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3002901010;3002901011;3002901019;3002901020;3002901030;3002901040;3002909010;3002909020;3002909030;3002909090,77,,no,no official source reaches 199508
3002391000,imports,199512,199601,74686051.00,"Vaccines nes, prepared for parenteral admin in animal; bovine intranasal vaccine",none,silent_no_source,,0,75,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002101010;3002101021;3002101022;3002101023;3002101029;3002101090;3002102110;3002102120;3002102190;3002102910;3002102990;3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200020;3002200030;3002200090;3002300010;3002300090;3002301000;3002309000;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3002901010;3002901011;3002901019;3002901020;3002901030;3002901040;3002909010;3002909020;3002909030;3002909090,75,,no,no official source reaches 199601
3002399000,imports,199512,199601,71013102.00,"Vaccines, veterinary use, nes",none,silent_no_source,,0,75,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002101010;3002101021;3002101022;3002101023;3002101029;3002101090;3002102110;3002102120;3002102190;3002102910;3002102990;3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200020;3002200030;3002200090;3002300010;3002300090;3002301000;3002309000;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3002901010;3002901011;3002901019;3002901020;3002901030;3002901040;3002909010;3002909020;3002909030;3002909090,75,,no,no official source reaches 199601
3002900010,imports,202112,202201,825580243.00,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",tariff_schedule,silent_no_effect,,0,5,3002490020;3002900020;3002900030;3002900040;3002900090,5,,yes,"the 2022 schedule holds every candidate, so it excludes none"
3002900011,imports,201609,201610,74680.00,Ricin,cbsa_concordance,decided,3002900010,1,12,3002900010,1,,yes,named by Canada's concordance at 201610
3002900012,imports,201610,201611,578.00,Saxitoxin,cbsa_concordance,decided,3002900010,1,11,3002900010,1,,yes,named by Canada's concordance at 201611
3002900019,imports,201612,201701,836383694.00,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",cbsa_concordance,decided,3002900010,1,6,3002900010,1,,yes,named by Canada's concordance at 201701
3002900020,imports,201612,201701,17636239.00,Butter-making ferment cultures,cbsa_concordance,decided,3002900090,1,5,3002900090,1,,yes,named by Canada's concordance at 201701
3002900050,imports,202112,202201,257772832.00,Micro-organisms cultures,tariff_schedule,silent_no_effect,,0,5,3002490010;3002900020;3002900030;3002900040;3002900090,5,,yes,"the 2022 schedule holds every candidate, so it excludes none"
3002900091,imports,201612,201701,155366436.00,"Bacteria culture inoculants, for seeds",cbsa_concordance,decided,3002900090,1,6,3002900090,1,,yes,named by Canada's concordance at 201701
3002900092,imports,201612,201701,15524973.00,Whole human blood,cbsa_concordance,decided,3002900040,1,6,3002900040,1,,yes,named by Canada's concordance at 201701
3002900093,imports,201612,201701,1530127.00,Antiallergenic preparations of microbial origin,cbsa_concordance,decided,3002900090,1,6,3002900090,1,,yes,named by Canada's concordance at 201701
3002900099,imports,201612,201701,685125802.00,"Human blood;anml blood therap/prophltc/diag uses;toxins,micro-organisms cult,nes",cbsa_concordance,constrained,3002900050;3002900090,2,6,3002900050;3002900090,2,,yes,named by Canada's concordance at 201701
3002901010,imports,199612,199701,17090674.00,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",none,silent_no_source,,0,22,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3002901011;3002901019;3002901020;3002901030;3002901040;3002909010;3002909020;3002909030;3002909090,22,,no,no official source reaches 199701
3002901011,imports,199712,199801,33472.00,Ricin,none,silent_no_source,,0,13,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099,13,,no,no official source reaches 199801
3002901019,imports,199712,199801,6387863.00,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",none,silent_no_source,,0,13,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099,13,,no,no official source reaches 199801
3002901020,imports,199712,199801,17995840.00,Ferment cultures,none,silent_no_source,,0,13,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099,13,,no,no official source reaches 199801
3002901030,imports,199712,199801,5096986.00,Dried blood of human origin,none,silent_no_source,,0,13,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099,13,,no,no official source reaches 199801
3002901040,imports,199712,199801,2070092.00,Dried blood of animal origin,none,silent_no_source,,0,13,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099,13,,no,no official source reaches 199801
3002909010,imports,199712,199801,30779871.00,Bacteria culture inoculants for seeds,none,silent_no_source,,0,13,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099,13,,no,no official source reaches 199801
3002909020,imports,199706,199707,1607419.00,Whole human blood,none,silent_no_source,,0,21,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3002901011;3002901019;3002901020;3002901030;3002901040;3002909010;3002909030;3002909090,21,,no,no official source reaches 199707
3002909030,imports,199709,199710,96578.00,Antiallergenic preparations of microbial origin,none,silent_no_source,,0,20,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3002901011;3002901019;3002901020;3002901030;3002901040;3002909010;3002909090,20,,no,no official source reaches 199710
3002909090,imports,199712,199801,69506433.00,"Human blood, animal blood for therap, prophltc or diag uses, microbial prep, nes",none,silent_no_source,,0,15,3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3006200010;3006200090,15,,no,no official source reaches 199801
3003310000,imports,202603,202604,2797436.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",none,silent_no_source,,0,7,3003100000;3003200000;3003390000;3003410000;3003490000;3003900030;3003900090,7,,no,no official source reaches 202604
3003310010,imports,201108,201109,77748.00,"Insulin, prepared for parenteral administration in humans, in bulk",cbsa_concordance,decided,3003310000,1,2,3003310000,1,,yes,named by Canada's concordance at 201109
3003310090,imports,201112,201201,5331921.00,"Insulin, formulated, in bulk, nes",cbsa_concordance,decided,3003310000,1,1,3003310000,1,,yes,named by Canada's concordance at 201201
3003311000,imports,199710,199711,4350765.00,"Insulin, prepared for parenteral administration in humans, in bulk",none,silent_no_source,,0,4,3003310000;3003310010;3003310090;3003319900,4,,no,no official source reaches 199711
3003319100,imports,199005,199006,129843.00,"Insulin, cont more than 23% of absolute ethyl alcohol by volume, in bulk",none,silent_no_source,,0,5,3003310000;3003310010;3003310090;3003311000;3003319900,5,,no,no official source reaches 199006
3003319900,imports,199712,199801,3974845.00,"Insulin, formulated, in bulk, nes",none,silent_no_source,,0,3,3003310000;3003310010;3003310090,3,,no,no official source reaches 199801
3003390010,imports,201112,201201,4162382.00,"Epinephrine and its solutions, prepared for parenteral admin in humans, in bulk",cbsa_concordance,decided,3003390000,1,1,3003390000,1,,yes,named by Canada's concordance at 201201
3003390090,imports,201112,201201,151533683.00,"Hormones, nes, not containing antibiotics, in bulk, o/t contraceptives",cbsa_concordance,decided,3003390000,1,1,3003390000,1,,yes,named by Canada's concordance at 201201
3003391000,imports,199712,199801,724092.00,"Epinephrine & its solutions, prepared for parenteral admin in humans, in bulk",none,silent_no_source,,0,3,3003390000;3003390010;3003390090,3,,no,no official source reaches 199801
3003399100,imports,199707,199708,10184.00,"Hormones, containing more than 23% of absolute ethyl alcohol by volume, in bulk",none,silent_no_source,,0,5,3003390000;3003390010;3003390090;3003391000;3003399900,5,,no,no official source reaches 199708
3003399900,imports,199712,199801,41099945.00,"Hormones, nes, not cont antibiotics, in bulk, o/t contraceptives",none,silent_no_source,,0,3,3003390000;3003390010;3003390090,3,,no,no official source reaches 199801
3003400000,imports,201612,201701,112415829.00,"Alkaloids or their derivs, formulated, not cont antibiotics/hormones, in bulk",cbsa_concordance,constrained,3003410000;3003420000;3003430000;3003490000,4,11,3003410000;3003420000;3003430000;3003490000,4,,yes,named by Canada's concordance at 201701
3003401000,imports,199308,199309,12838.00,"Alkaloids or their derivs, cont more than 23% of absol ethyl alc by vol, in bulk",none,silent_no_source,,0,2,3003400000;3003409000,2,,no,no official source reaches 199309
3003409000,imports,199712,199801,3954586.00,"Alkaloids or their derivs, formltd, not cont antibiotics or horm, in bulk, nes",none,silent_no_source,,0,1,3003400000,1,,no,no official source reaches 199801
3003410000,imports,202605,202606,14190.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",none,silent_no_source,,0,6,3003100000;3003200000;3003390000;3003490000;3003900030;3003900090,6,,no,no official source reaches 202606
3003420000,imports,202401,202402,193.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",tariff_schedule,silent_no_effect,,0,10,3003100000;3003200000;3003310000;3003390000;3003410000;3003430000;3003490000;3003600000;3003900030;3003900090,10,,no,"the 2024 schedule holds every candidate, so it excludes none"
3003430000,imports,202506,202507,21630.00,"Medicaments,cont norephedrine/salts,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",tariff_schedule,silent_no_effect,,0,9,3003100000;3003200000;3003310000;3003390000;3003410000;3003490000;3003600000;3003900030;3003900090,9,,no,"the 2025 schedule holds every candidate, so it excludes none"
3003600000,imports,202508,202509,786374.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",tariff_schedule,silent_no_effect,,0,8,3003100000;3003200000;3003310000;3003390000;3003410000;3003490000;3003900030;3003900090,8,,no,"the 2025 schedule holds every candidate, so it excludes none"
3003900010,imports,201112,201201,8239452.00,"Fractioned soya oil emulsions, prepr for parenteral admin; mx of amino acids,etc",cbsa_concordance,decided,3003900090,1,2,3003900090,1,,yes,named by Canada's concordance at 201201
3003900020,imports,201112,201201,1506308.00,"Medicaments, nes, cont more than 23% of absolute ethyl alcohol by volume,in bulk",cbsa_concordance,decided,3003900090,1,2,3003900090,1,,yes,named by Canada's concordance at 201201
3003900091,imports,201112,201201,71952532.00,"Medicaments containing acetaminophen, in bulk",cbsa_concordance,decided,3003900030,1,2,3003900030,1,,yes,named by Canada's concordance at 201201
3003900099,imports,201112,201201,1694115004.00,"Medicaments, nes, formulated, in bulk",cbsa_concordance,decided,3003900090,1,2,3003900090,1,,yes,named by Canada's concordance at 201201
3003901000,imports,199712,199801,11827021.00,"Fractioned soya oil emulsions, prepr for parenteral admin; mx of amino acids,etc",none,silent_no_source,,0,6,3003900010;3003900020;3003900030;3003900090;3003900091;3003900099,6,,no,no official source reaches 199801
3003909100,imports,199712,199801,621683.00,"Medicaments, nes, cont more than 23% of absolute ethyl alcohol by volume,in bulk",none,silent_no_source,,0,6,3003900010;3003900020;3003900030;3003900090;3003900091;3003900099,6,,no,no official source reaches 199801
3003909900,imports,199412,199501,158198908.00,"Medicaments, nes, formulated, in bulk",none,silent_no_source,,0,10,3003900010;3003900020;3003900030;3003900090;3003900091;3003900099;3003901000;3003909100;3003909910;3003909990,10,,no,no official source reaches 199501
3003909910,imports,199712,199801,10818930.00,"Medicaments containing acetaminophen, in bulk",none,silent_no_source,,0,6,3003900010;3003900020;3003900030;3003900090;3003900091;3003900099,6,,no,no official source reaches 199801
3003909990,imports,199712,199801,229173341.00,"Medicaments nes, formulated, in bulk",none,silent_no_source,,0,6,3003900010;3003900020;3003900030;3003900090;3003900091;3003900099,6,,no,no official source reaches 199801
3004100011,imports,201112,201201,9924685.00,"Penicillin G sodium, for human use, in dosage",cbsa_concordance,decided,3004100010,1,2,3004100010,1,,yes,named by Canada's concordance at 201201
3004100012,imports,201111,201112,700053.00,"Penicillin V, for human use, in dosage",cbsa_concordance,decided,3004100010,1,8,3004100010,1,,yes,named by Canada's concordance at 201112
3004100013,imports,201112,201201,23568551.00,"Amoxycillin, for human use, in dosage",cbsa_concordance,decided,3004100010,1,2,3004100010,1,,yes,named by Canada's concordance at 201201
3004100014,imports,199112,199201,9591808.00,"Amoxycillin for human use, in dosage",none,silent_no_source,,0,9,3004100010;3004100011;3004100012;3004100013;3004100019;3004100020;3004100031;3004100032;3004100090,9,,no,no official source reaches 199201
3004100019,imports,201112,201201,488231929.00,"Penicillins or their derivatives, nes, for human use, in dosage",cbsa_concordance,decided,3004100010,1,2,3004100010,1,,yes,named by Canada's concordance at 201201
3004100020,imports,201112,201201,20420808.00,"Streptomycins or their derivatives, for human use, in dosage",cbsa_concordance,decided,3004100010,1,2,3004100010,1,,yes,named by Canada's concordance at 201201
3004100031,imports,201112,201201,95284642.00,"Penicillins or their derivatives, for veterinary use, in dosage",cbsa_concordance,decided,3004100090,1,2,3004100090,1,,yes,named by Canada's concordance at 201201
3004100032,imports,201112,201201,50412716.00,"Streptomycins or their derivatives, for veterinary use, in dosage",cbsa_concordance,decided,3004100090,1,2,3004100090,1,,yes,named by Canada's concordance at 201201
3004200010,imports,201112,201201,47992503.00,"Tetracyclines or their derivatives, for human use, in dosage",cbsa_concordance,decided,3004200019,1,7,3004200019,1,,yes,named by Canada's concordance at 201201
3004200020,imports,201112,201201,952412146.00,"Cephalosporins, for human use, in dosage",cbsa_concordance,decided,3004200011,1,7,3004200011,1,,yes,named by Canada's concordance at 201201
3004200031,imports,201112,201201,217132160.00,"Erythromycin, for human use, in dosage",cbsa_concordance,decided,3004200013,1,7,3004200013,1,,yes,named by Canada's concordance at 201201
3004200039,imports,201112,201201,363544547.00,"Macrolide antibiotics, nes, for human use, in dosage",cbsa_concordance,decided,3004200018,1,7,3004200018,1,,yes,named by Canada's concordance at 201201
3004200041,imports,201112,201201,23415016.00,"Gentamycins, for human use, in dosage",cbsa_concordance,decided,3004200019,1,7,3004200019,1,,yes,named by Canada's concordance at 201201
3004200042,imports,199007,199008,4757.00,"Kanamycins, for human use, in dosage",none,silent_no_source,,0,24,3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200049;3004200051;3004200052;3004200059;3004200061;3004200062;3004200063;3004200064;3004200066;3004200069;3004200071;3004200079;3004200080;3004200090,24,,no,no official source reaches 199008
3004200049,imports,201112,201201,86823169.00,"Aminoglycoside antibiotics, nes, for human use, in dosage",cbsa_concordance,decided,3004200019,1,7,3004200019,1,,yes,named by Canada's concordance at 201201
3004200051,imports,201112,201201,11061879.00,"Bacitracin, for human use, in dosage",cbsa_concordance,decided,3004200019,1,7,3004200019,1,,yes,named by Canada's concordance at 201201
3004200052,imports,199611,199612,1094147.00,"Polymyxins, for human use, in dosage",none,silent_no_source,,0,21,3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200049;3004200051;3004200059;3004200061;3004200062;3004200063;3004200069;3004200071;3004200079;3004200080;3004200090,21,,no,no official source reaches 199612
3004200059,imports,201112,201201,214979963.00,"Polypeptides antibiotics, nes, for human use, in dosage",cbsa_concordance,decided,3004200019,1,7,3004200019,1,,yes,named by Canada's concordance at 201201
3004200061,imports,201110,201111,2971734.00,"Chloramphenicol, for human use, in dosage",cbsa_concordance,decided,3004200019,1,19,3004200019,1,,yes,named by Canada's concordance at 201111
3004200062,imports,201110,201111,11650860.00,"Mitomycin C, for human use, in dosage",cbsa_concordance,decided,3004200019,1,19,3004200019,1,,yes,named by Canada's concordance at 201111
3004200063,imports,201112,201201,142830549.00,"Vancomycin, for human use, in dosage",cbsa_concordance,decided,3004200012,1,7,3004200012,1,,yes,named by Canada's concordance at 201201
3004200064,imports,199112,199201,510594.00,"Lincomycin, for human use, in dosage",none,silent_no_source,,0,22,3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200049;3004200051;3004200052;3004200059;3004200061;3004200062;3004200063;3004200069;3004200071;3004200079;3004200080;3004200090,22,,no,no official source reaches 199201
3004200065,imports,198904,198905,128029.00,"Lincomycin, for human use, in dosage",none,silent_no_source,,0,25,3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200042;3004200049;3004200051;3004200052;3004200059;3004200061;3004200062;3004200063;3004200064;3004200066;3004200069;3004200071;3004200079;3004200080;3004200090,25,,no,no official source reaches 198905
