flow,hs_code,description,first_period,last_period,family_code,family_name,enclosing_family_name,enclosing_source,therapeutic_class,source,confidence,why,added_on
imports,3002900011,Ricin,199801,201609,3002900019,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002900012,Saxitoxin,200003,201610,3002900019,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002900020,Butter-making ferment cultures,199801,201612,,Micro-organism cultures,,,dairy fermentation culture,"asserted, unsourced",medium,"butter-making ferment cultures are a food-industry culture, not a medicine",2026-08-12
imports,3002900050,Micro-organisms cultures,201701,202112,,Micro-organism cultures,,,microbiological culture,"asserted, unsourced",medium,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3002900091,Bacteria culture inoculants for seeds,199801,200112,3002900099,"Human blood, animal blood for therap, prophltc or diag uses, microbial prep, nes",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3002900092,Whole human blood,199801,201612,3002900090,"Human blood;animal blood for therap/prophltc/diagnostic uses;toxins,sim prod,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002900093,Antiallergenic preparations of microbial origin,199802,201612,3002900090,"Human blood;animal blood for therap/prophltc/diagnostic uses;toxins,sim prod,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002901010,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",198801,199612,3002901019,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002901011,Ricin,199701,199712,3002901019,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002901030,Dried blood of human origin,198801,199712,,Blood products,,,blood derivative,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3003319100,"Insulin, cont more than 23% of absolute ethyl alcohol by volume, in bulk",198802,199005,,Hormones,,,antidiabetic (peptide hormone),"asserted, unsourced",high,insulin,2026-08-12
imports,3003319900,"Insulin, formulated, in bulk, nes",198801,199712,,Hormones,,,antidiabetic (peptide hormone),"asserted, unsourced",high,"insulin, bulk",2026-08-12
imports,3003390090,"Hormones, nes, not containing antibiotics, in bulk, o/t contraceptives",199801,201112,,Hormones,,,unspecified hormone,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3003399100,"Hormones, containing more than 23% of absolute ethyl alcohol by volume, in bulk",198801,199707,,Hormones,,,unspecified hormone,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3003400000,"Alkaloids or their derivs, formulated, not cont antibiotics/hormones, in bulk",199801,201612,,Vegetable alkaloids,,,unspecified alkaloid,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3003410000,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",201706,202605,,Vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"ephedrine, pseudoephedrine and norephedrine are ephedra alkaloids acting on the same receptors; the first two are stereoisomers",2026-08-12
imports,3003420000,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",202209,202401,,Non-narcotic vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. pseudoephedrine",2026-08-12
imports,3003430000,"Medicaments,cont norephedrine/salts,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",201701,202506,,Vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"ephedrine, pseudoephedrine and norephedrine are ephedra alkaloids acting on the same receptors; the first two are stereoisomers",2026-08-12
imports,3003490000,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201701,202606,,Vegetable alkaloids,,,unspecified alkaloid,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3003600000,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",201701,202508,,Antimalarials,,,antimalarial,"asserted, unsourced",high,"the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
imports,3003900091,"Medicaments containing acetaminophen, in bulk",199801,201112,3003900090,"Other medicaments, formulated, in bulk, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004100010,"Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",201201,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004100011,"Penicillin G sodium for human use, in dosage",198801,200112,3004100019,"Penicillins or their derivs nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004100012,"Penicillin G procaine for human use, in dosage",198801,199102,3004100019,"Penicillins or their derivs nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004100013,"Penicillin V for human use, in dosage",198801,199110,3004100019,"Penicillins or their derivs nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004100014,"Amoxycillin for human use, in dosage",198801,199112,3004100019,"Penicillins or their derivs nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200031,"Erythromycin, for human use, in dosage",198801,201112,3004200039,"Macrolide antibiotics nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200041,"Gentamycins, for human use, in dosage",198801,201112,3004200049,"Aminoglycoside antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200042,"Kanamycins, for human use, in dosage",198910,199007,3004200049,"Aminoglycoside antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200051,"Bacitracin, for human use, in dosage",199003,201112,3004200059,"Polypeptide antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200052,"Polymyxins, for human use, in dosage",198801,199611,3004200059,"Polypeptide antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200061,"Chloramphenicol, for human use, in dosage",198802,201110,3004200069,"Antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200062,"Mitomycin C, for human use, in dosage",198803,201110,3004200069,"Antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200063,"Vancomycin, for human use, in dosage",198801,201112,3004200069,"Antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200064,"Rifamycins, for human use, in dosage",198801,199106,3004200069,"Antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200064,"Lincomycin, for human use, in dosage",199112,199112,3004200069,"Antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-16
imports,3004200065,"Lincomycin, for human use, in dosage",198812,198904,3004200069,"Antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200066,"Spectinomycin, for human use, in dosage",198801,199101,3004200069,"Antibiotics, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004200071,"Ivermectin, for vet use, in dosage",198901,200112,3004200079,"Antibiotics, nes, for vet use, in dosage",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3004320010,"Adrenal cortical horm, cont more than 23% of abs ethyl alc by vol, in dosage",199803,200112,3004320019,"Medicaments containing corticosteroid hormones, for human use, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004320011,"Hydrocortisone, for human use, in dosage",200201,201112,3004320019,"Medicaments containing corticosteroid hormones, for human use, nes",,,corticosteroid,"derived from the tariff block (family) + asserted, unsourced (class)",high,the leftover line sharing this code's tens block names the family it belongs to | class asserted: adrenal cortical and corticosteroid name the same class under two names,2026-08-12
imports,3004320019,"Medicaments containing corticosteroid hormones, for human use, nes",200201,201112,,Corticosteroid hormones,,,corticosteroid,"asserted, unsourced",high,adrenal cortical and corticosteroid name the same class under two names,2026-08-12
imports,3004320020,"Corticosteriod hormones, for veterinary use, in dosage",200201,201112,,Corticosteroid hormones,,,corticosteroid,"asserted, unsourced",high,corticosteroid and adrenal cortical name the same class,2026-08-12
imports,3004320081,"Hydrocortisone, for human use, in dosage",199801,200112,3004320089,"Adrenal cortical hormones, nes, for human use, in dosage","Medicaments containing corticosteroid hormones, for human use, nes","derived from the tariff block (the .89 residual ends 2001-12 and the .19 residual begins 2002-01 in the same subheading, so the leftover renumbered)",corticosteroid,"derived from the tariff block (family) + asserted, unsourced (class)",high,the leftover line sharing this code's tens block names the family it belongs to | class asserted: adrenal cortical and corticosteroid name the same class under two names,2026-08-12
imports,3004320082,"Betamethasone, for human use, in dosage",200011,200111,3004320089,"Adrenal cortical hormones, nes, for human use, in dosage","Medicaments containing corticosteroid hormones, for human use, nes","derived from the tariff block (the .89 residual ends 2001-12 and the .19 residual begins 2002-01 in the same subheading, so the leftover renumbered)",corticosteroid,"derived from the tariff block (family) + asserted, unsourced (class)",high,the leftover line sharing this code's tens block names the family it belongs to | class asserted: adrenal cortical and corticosteroid name the same class under two names,2026-08-12
imports,3004320089,"Adrenal cortical hormones, nes, for human use, in dosage",199801,200112,,Adrenal cortical hormones,,,corticosteroid,"asserted, unsourced",high,"the leftover line for adrenal cortical hormones, human use",2026-08-12
imports,3004320090,"Adrenal cortical hormones, for vet use, in dosage",199801,200112,,Adrenal cortical hormones,,,corticosteroid,"asserted, unsourced",high,"same class as the line above, veterinary rather than human",2026-08-12
imports,3004329011,"Hydrocortisone, for human use, in dosage",198801,199712,3004329019,"Adrenal cortical hormones, nes, for human use, in dosage","Medicaments containing corticosteroid hormones, for human use, nes","derived from the tariff block (the .89 residual ends 2001-12 and the .19 residual begins 2002-01 in the same subheading, so the leftover renumbered)",corticosteroid,"derived from the tariff block (family) + asserted, unsourced (class)",high,the leftover line sharing this code's tens block names the family it belongs to | class asserted: adrenal cortical and corticosteroid name the same class under two names,2026-08-12
imports,3004329012,"Betamethasone, for human use, in dosage",198803,199706,3004329019,"Adrenal cortical hormones, nes, for human use, in dosage","Medicaments containing corticosteroid hormones, for human use, nes","derived from the tariff block (the .89 residual ends 2001-12 and the .19 residual begins 2002-01 in the same subheading, so the leftover renumbered)",corticosteroid,"derived from the tariff block (family) + asserted, unsourced (class)",high,the leftover line sharing this code's tens block names the family it belongs to | class asserted: adrenal cortical and corticosteroid name the same class under two names,2026-08-12
imports,3004329019,"Adrenal cortical hormones, nes, for human use, in dosage",198801,199712,,Corticosteroid hormones,,,corticosteroid,"asserted, unsourced",high,adrenal cortical and corticosteroid name the same class under two names,2026-08-12
imports,3004390010,"Epinephrine & its sol & pituitary extrc, prepr for parentl admin in hum, in dos",199801,201112,,Hormones,,,adrenergic / pituitary,"asserted, unsourced",high,epinephrine is a catecholamine; pituitary extracts are peptide hormones,2026-08-12
imports,3004390011,"Medi,cont epinephrine/solutions/pituitary extracts,doses/frs,o/t No 30.02/05/06",201201,202606,,Hormones,,,adrenergic / pituitary,"asserted, unsourced",high,the later form of the line above,2026-08-12
imports,3004390081,"Anterior pituitary hormones, for human use, in dosage",199801,201112,3004390085,"Hormones, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004390082,"Posterior pituitary hormones, for human use, in dosage",199806,201112,3004390085,"Hormones, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004390083,"Unmixed single estrogens, for human use, in dosage",199801,201112,3004390085,"Hormones, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004390084,"Unmixed single progestational hormones, for human use, in dosage",199801,201112,3004390085,"Hormones, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004400020,"Vincristine, for human use, in dosage",199801,201112,,Non-narcotic vegetable alkaloids,,,antineoplastic (vinca alkaloid),"asserted, unsourced",high,vincristine is a vinca alkaloid used in chemotherapy,2026-08-12
imports,3004400090,"Non-narc veg alkaloids or their non-narc derivs, nes, for human use, in dosage",199801,200112,,Non-narcotic vegetable alkaloids,,,unspecified alkaloid,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3004409011,"Codeine phosphate, for human use, in dosage",199008,199612,3004409019,"Codeine or its derivs nes, for human use, in dosage","Narcotic veg alkaloids or their narc derivs, nes, for human use, in dosage","asserted, unsourced (codeine is an opium alkaloid; matches the narcotic grouping already recorded for Morphine and Cocaine in the same block)",,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004409020,"Quinidine sulphate, for human use, in dosage",198802,199707,,Non-narcotic vegetable alkaloids,,,antiarrhythmic (cinchona alkaloid),"asserted, unsourced",high,quinidine is a cinchona alkaloid used for cardiac arrhythmia,2026-08-12
imports,3004409050,"Morphine or its derivs, for human use, in dosage",198801,199712,,Narcotic vegetable alkaloids,,,opioid analgesic,"asserted, unsourced",high,morphine is an opium alkaloid and a controlled narcotic,2026-08-12
imports,3004409060,"Cocaine or its derivs, for human use, in dosage",199111,199403,,Narcotic vegetable alkaloids,,,local anaesthetic / stimulant,"asserted, unsourced",high,cocaine is a coca alkaloid and a controlled narcotic,2026-08-12
imports,3004410000,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202605,,Non-narcotic vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. ephedrine",2026-08-12
imports,3004420000,"Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202606,,Vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"ephedrine, pseudoephedrine and norephedrine are ephedra alkaloids acting on the same receptors; the first two are stereoisomers",2026-08-12
imports,3004430000,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201712,202606,,Non-narcotic vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. norephedrine, an ephedra alkaloid distinct from ephedrine",2026-08-12
imports,3004490090,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,,Vegetable alkaloids,,,unspecified alkaloid,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3004500010,"Mx of amino acids & vitamins,& mx of amino acids, protein hydrolysates & vit,etc",199801,201112,3004500019,"Other medicaments cont vitamins and their derivs, for human use, in dosage,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004500011,"Medi,cont single vitamin,not mixed,f human,doses/pack frs,o/t No 30.02/05/06,nes",201201,202606,3004500019,"Other medicaments cont vitamins and their derivs, for human use, in dosage,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004500012,"Medi,cont 1 vitamin,mix w o supplements,f human use,doses/frs,o/t No 30.02/05/06",201201,202606,3004500019,"Other medicaments cont vitamins and their derivs, for human use, in dosage,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
