retiring_code,flow,last_period,boundary,total_value_cad,description,deciding_layer,outcome,official_destinations,n_official,candidates_before,candidates_after,n_after,official_outside_structural_field,at_hs_revision_boundary,note
30036000,exports,202308,202309,7735481.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",tariff_schedule,silent_no_effect,,0,7,30031000;30032000;30033100;30033900;30034200;30034900;30039000,7,,no,"the 2023 schedule holds every candidate, so it excludes none"
30041010,exports,198812,198901,3401123.00,"Penicillins or streptomycins and their derivatives,in dosage,for human use",none,silent_no_source,,0,1,30041000,1,,no,no official source reaches 198901
30041020,exports,198812,198901,992811.00,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",none,silent_no_source,,0,1,30041000,1,,no,no official source reaches 198901
30042010,exports,198812,198901,7651667.00,"Antibiotics nes, in dosage, for human use",none,silent_no_source,,0,1,30042000,1,,no,no official source reaches 198901
30042020,exports,198812,198901,718992.00,"Antibiotics nes, in dosage, for veterinary use",none,silent_no_source,,0,1,30042000,1,,no,no official source reaches 198901
30043210,exports,198812,198901,3924008.00,"Adrenal cortical hormones, in dosage, for human use",none,silent_no_source,,0,1,30043200,1,,no,no official source reaches 198901
30043220,exports,198811,198812,47163.00,"Adrenal cortical hormones, in dosage, for veterinary use",none,silent_no_source,,0,2,30043200;30043210,2,,no,no official source reaches 198812
30043910,exports,198812,198901,6819167.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",none,silent_no_source,,0,1,30043900,1,,no,no official source reaches 198901
30043920,exports,198812,198901,304529.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",none,silent_no_source,,0,1,30043900,1,,no,no official source reaches 198901
30044000,exports,201612,201701,1560656123.00,"Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage",constraint_set,constrained,30044100;30044200;30044300;30044900,4,14,30044100;30044200;30044300;30044900,4,,yes,"bounded by the official record, action constrain"
30044100,exports,202605,202606,104471710.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",none,silent_no_source,,0,11,30041000;30042000;30043100;30043200;30043900;30044200;30044900;30045000;30046000;30049010;30049090,11,,no,no official source reaches 202606
30044300,exports,202203,202204,497680.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",tariff_schedule,silent_no_effect,,0,12,30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044900;30045000;30046000;30049010;30049090,12,,no,"the 2022 schedule holds every candidate, so it excludes none"
30045010,exports,198812,198901,5171012.00,"Vitamins and their derivatives,in dosage for human use",none,silent_no_source,,0,1,30045000,1,,no,no official source reaches 198901
30045020,exports,198812,198901,1105557.00,"Vitamins and their derivatives,in dosage for veterinary use",none,silent_no_source,,0,1,30045000,1,,no,no official source reaches 198901
30049000,exports,201712,201801,67033315697.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",constraint_set,bounded_needs_ruling,30046000,1,2,30046000,1,30046000,no,"bounded by the official record, action constrain_and_rule"
30049010,exports,198812,198901,52047406.00,"Medicaments nes, in dosage, for human use",none,silent_no_source,,0,2,30049000;30049090,2,,no,no official source reaches 198901
30049020,exports,198812,198901,5163106.00,"Medicaments nes, in dosage, for veterinary use",none,silent_no_source,,0,3,30049000;30049010;30049090,3,,no,no official source reaches 198901
30062000,exports,202112,202201,72350467.00,Blood-grouping reagents,wco_correlation,correlated_left_chapter,,0,9,30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,9,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 382213, outside Chapter 30"
30068000,exports,200612,200701,4595187.00,Waste pharmaceuticals,wco_correlation,forced,,0,10,30069200,1,,yes,"the WCO 2002 to 2007 correlation sends this subheading to 300692, leaving 1 of 10 candidate(s)"
