link_id,retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,successor,successor_description,successor_first_traded,successor_last_traded,outcome,authority,basis,detail,decided_by,decided_on,reason,overrode_a_hold
exports:3002.39.00:1995-12,3002.39.00,1,exports,199512,40239940.00,"Vaccines, veterinary use, nes",3002.30.90,"Vaccines, veterinary use, nes",199601,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3002.90.00:1996-12,3002.90.00,1,exports,199612,87070203.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",3002.90.90,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",199701,201112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3002.90.10:1988-12,3002.90.10,1,exports,198812,7990944.00,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",198901,199612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3002.90.20:1988-12,3002.90.20,1,exports,198812,331522.00,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",198901,199612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3002.90.20:2016-11,3002.90.20,2,exports,201611,10613008.00,Saxitoxin,3002.90.90,"Human blood; animal blood for therap/prophltc/diag uses;micro-organisms cult,nes",201201,201612,succeeded,analyst,reject_named,the analyst rejected the proposal and named 3002.90.90 instead,analysts,2026-08-12,"The line was withdrawn at 201612 and nothing replaced it, so the goods fall to the catch-all. Only two candidates exist on this row: 3002.90.10 Ricin at 0.4286 and 3002.90.90 at 0.1136. Ricin is a different specific toxin, so the proposal is wrong on meaning rather than on wording, and neither candidate carries a veto. Note that 3002.90.90 was the proposal when this row was first decided; check_this_again records that it moved to Ricin afterwards, and the move made it worse.",no
exports:3003.10.00:2026-05,3003.10.00,1,exports,202605,2184328.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",,,,no
exports:3003.31.00:1993-04,3003.31.00,1,exports,199304,745761.00,"Insulin, formulated, in bulk",3003.90.00,"Medicaments nes, formulated, in bulk",198801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3003.31.00:2025-05,3003.31.00,2,exports,202505,1208878.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",,,,no
exports:3003.40.00:2016-11,3003.40.00,1,exports,201611,2243690.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",3003.49.00,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201805,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3003.49.00, 2026-08-14. THIS REVERSES THE WITHDRAWAL MADE EARLIER THE SAME DAY. The withdrawal waited on the WCO 2012-to-2017 correlation table; that table has since been extracted and read. It subdivided 3003.40 to create 3003.41, 3003.42 and 3003.43 for ephedrine, pseudoephedrine and norephedrine, leaving 3003.49 for everything else. This is the bulk counterpart of row 214 and follows it.",no
exports:3003.41.00:2020-09,3003.41.00,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",analysts,2026-08-13,"The line was not withdrawn, so there is no successor to name. 3003.41.00 stands in the tariff across all nine vintages from 2017 to 2025 and carries no stated_termination. It traded in exactly one month, 2020-09, for CAD 16,605, which is a single shipment rather than a retirement. The proposal, pseudoephedrine, is a different controlled precursor with its own live line at 3003.42.00. The stimulant rule separates pseudoephedrine from norephedrine only and names ephedrine on neither side, so nothing stopped the swap. The delivery writes this code as 'ephedrin', which is why the rule's own note concluded the term was absent.",no
exports:3003.42.00:2024-09,3003.42.00,1,exports,202409,594838.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",analysts,2026-08-12,"The line was not withdrawn, so there is no successor to name. 3003.42.00 stands in the tariff across all nine vintages from 2017 to 2025 and carries no stated_termination. Row 38 is the same commodity on the import side and resolves the same way. The proposal is an antibiotics line offered for a pseudoephedrine code, and its 0.8176 match is the shared boilerplate. Decided despite the DO NOT DECIDE verdict, and deliberately: that hold exists because silence alone cannot say whether a code retired, and the tariff schedule answers the question directly, which is evidence the hold does not consult.",no
exports:3003.60.00:2023-08,3003.60.00,1,exports,202308,7735481.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",analysts,2026-08-12,"The line was not withdrawn, so there is no successor to name. 3003.60.00 carries no stated_termination on either flow, while fifteen Chapter 30 codes around it carry 202112 from the HS2022 revision, and it traded through that boundary on both sides. What stopped in 2023-08 is the domestic export flow, CAD 7,732,509 across 14 months, not the tariff line. Imports were still booked against 3003.60.00.00 to 2025-08, though only CAD 786,374 across 55 months, and that side's own retirement is held undecided at row 207 as too close to the end of the data. The proposal is antibiotics offered for an antimalarial code: its 0.7261 match is the shared boilerplate 'Medicaments, cont ... mixed, nfrs, o/t No 30.02/05/06', which is the failure mode recorded as finding 67. The subheading-residual rule does not reach this row either. 3003.60 is a standalone subheading, so its enclosing residual is 3003.90 and not anything in the alkaloid group, and domestic exports of 3003.90 fell from CAD 128,064,192 in 2023 to CAD 86,253,691 in 2024 rather than absorbing the flow that stopped. The rule applies to codes Canada withdrew: 3003.40 in this same heading, and 3004.40 in heading 3004, carry stated_termination 201612, and 3003.60 carries none.",no
exports:3004.10.10:1988-12,3004.10.10,1,exports,198812,3401123.00,"Penicillins or streptomycins and their derivatives,in dosage,for human use",3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3004.10.20:1988-12,3004.10.20,1,exports,198812,992811.00,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3004.20.10:1988-12,3004.20.10,1,exports,198812,7651667.00,"Antibiotics nes, in dosage, for human use",3004.20.00,"Antibiotics nes, in dosage",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3004.20.20:1988-12,3004.20.20,1,exports,198812,718992.00,"Antibiotics nes, in dosage, for veterinary use",3004.20.00,"Antibiotics nes, in dosage",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3004.32.10:1988-12,3004.32.10,1,exports,198812,3924008.00,"Adrenal cortical hormones, in dosage, for human use",3004.32.00,"Adrenal cortical hormones, not containing antibiotics, in dosage",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3004.32.20:1988-11,3004.32.20,1,exports,198811,47163.00,"Adrenal cortical hormones, in dosage, for veterinary use",3004.32.00,"Adrenal cortical hormones, not containing antibiotics, in dosage",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3004.39.10:1988-12,3004.39.10,1,exports,198812,6819167.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",3004.39.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3004.39.20:1988-12,3004.39.20,1,exports,198812,304529.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",3004.39.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3004.40.00:2016-12,3004.40.00,1,exports,201612,1560656123.00,"Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage",3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3004.49.00, 2026-08-14. The WCO 2012-to-2017 table subdivided 3004.40 to create 3004.41, 3004.42 and 3004.43 for ephedrine, pseudoephedrine and norephedrine, leaving 3004.49 for everything else. The retiring line is the whole unsubdivided subheading, so it continues in the line that carries the remainder.",no
exports:3004.41.00:2026-05,3004.41.00,1,exports,202605,104471710.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",,,,no
exports:3004.43.00:2022-03,3004.43.00,1,exports,202203,497680.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",analysts,2026-08-13,"The line was not withdrawn, so there is no successor to name. 3004.43.00 stands in Canada's published tariff across all nine vintages from 2017 to 2025, continuously, and carries no stated_termination. What stopped in 2022-03 is the export flow, CAD 486,838 across 7 months. The proposal reached the sheet through a gap in rule coverage: the closest candidate, 3004.42.00 pseudoephedrine at 0.9548, was disqualified by the stimulant rule, and 3004.41.00 ephedrine at 0.9290 was not, because the active rule names pseudoephedrine against norephedrine only and does not mention ephedrine on either side. Norephedrine and ephedrine are distinct controlled precursors with their own tariff lines, and neither succeeds the other while both exist.",no
exports:3004.50.10:1988-12,3004.50.10,1,exports,198812,5171012.00,"Vitamins and their derivatives,in dosage for human use",3004.50.00,"Vitamins and their derivatives,in dosage",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3004.50.20:1988-12,3004.50.20,1,exports,198812,1105557.00,"Vitamins and their derivatives,in dosage for veterinary use",3004.50.00,"Vitamins and their derivatives,in dosage",198901,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3004.90.00:2017-12,3004.90.00,1,exports,201712,67033315697.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,succeeded,analyst,second,the analyst preferred the second alternative to the proposal,analysts,2026-08-13,"The second alternative is the same commodity under a new number. 3004.90.90 carries this line's description word for word and begins trading 2018-01, the month after 3004.90.00 stops, at a wording match of 1.0000 against 0.5660 for the proposal. Scale settles it: 3004.90.90 has carried CAD 45,255,229,029 since 2018-01, while 3004.60.00, the antimalarial line, has carried CAD 36,444,266 across its whole life from 2017-01. The seven import twins retiring at the same 2017-12 boundary all stay inside 3004.90, so the subheading did not vanish in 2018. The proposal reached the sheet because the official record recorded a single destination for this retirement, 3004.60.00, while Canada's concordance for the same goods also holds the arm that stays put; the pipeline marked the row bounded_needs_ruling, the only export retirement carrying that outcome, and this is that ruling. Rows 2 and 10 chain into this link, so both follow it.",no
exports:3004.90.10:1988-12,3004.90.10,1,exports,198812,52047406.00,"Medicaments nes, in dosage, for human use",3004.90.00,"Medicaments nes, in dosage",198901,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3004.90.20:1988-12,3004.90.20,1,exports,198812,5163106.00,"Medicaments nes, in dosage, for veterinary use",3004.90.00,"Medicaments nes, in dosage",198901,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
exports:3006.20.00:2021-12,3006.20.00,1,exports,202112,72350467.00,Blood-grouping reagents,,,,,left_chapter,analyst,reject_none,the analyst rejected the proposal and recorded no successor in this chapter,analysts,2026-08-14,"NONE, on the official record, 2026-08-14. The WCO 2017-to-2022 correlation table maps 3006.20 to 3822.13 and to nothing else, so the goods left Chapter 30. Heading 38.22 is outside this crosswalk and outside the delivery, so no code here can be the successor and the candidates shown qualify on wording alone.",no
exports:3006.80.00:2006-12,3006.80.00,1,exports,200612,4595187.00,Waste pharmaceuticals,3006.92.00,"Waste pharmaceuticals, nes",200703,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-13,"Decided despite the DO NOT DECIDE verdict, and deliberately. The hold on this row is 'waiting on a document' and carries no stated reading; rows 227 and 230 in the same block spell out the reasoning behind it, that the subheading is gone and nothing left in the chapter shares the meaning, so the goods may have left Chapter 30. That is not so. Canada retired every 3006.80 line at the 2006 to 2007 boundary, 3006.80.11.00 and 3006.80.19.00 together with 3006.80.90.10 through .60, and created 3006.92.00.00, Waste pharmaceuticals, at the same boundary. It is written down in evidence/cbsa/sched_ch30_boundaries.csv, which this project already holds, so no external document is needed. The proposal, 3006.92.00, is that line, and at 0.9130 it is the ranker's first candidate with nothing vetoed above it.",no
