link_id,row,verdict,why,retiring_code,retiring_description,retiring_last_traded,proposed_successor,proposed_successor_description,proposed_successor_traded,proposed_successor_wording_match,second_alternative,second_alternative_description,second_alternative_traded,second_alternative_wording_match,how_they_relate,how_the_second_relates,what_this_points_to,check_this_again,decision,correct_successor_if_rejected,reason,decided_by,decided_on
imports:3004.32.90.12:1997-06,13,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: betamethasone against hydrocortisone. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.32.90.12,"Betamethasone, for human use, in dosage",1997-06,3004.32.00.81,"Hydrocortisone, for human use, in dosage",1998-01 to 2001-12,0.7733,3004.32.00.89,"Adrenal cortical hormones, nes, for human use, in dosage",1998-01 to 2001-12,0.6889,"same class (asserted, no source)",its own leftover line (from the tariff structure),"SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,second,,,analysts,2026-08-12
imports:3004.20.00.52:1996-11,14,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: polymyxin against vancomycin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.20.00.52,"Polymyxins, for human use, in dosage",1996-11,3004.20.00.63,"Vancomycin, for human use, in dosage",1988-01 to 2011-12,0.8529,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",1988-01 to 2011-12,0.7671,different family (from the tariff structure),a catch-all line that may cover it (read off the alternative's own wording),"NOT the proposal: it is a different family. Neither code offered is this one's own family line, so weigh both.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,second,,,analysts,2026-08-12
exports:3004.10.20:1988-12,15,CONFIRM - the evidence supports this link,,3004.10.20,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",1988-12,3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",1989-01 to 2026-06,0.9091,,,,,unknown,,,,accept,,,analysts,2026-08-11
exports:3004.20.20:1988-12,16,CONFIRM - the evidence supports this link,,3004.20.20,"Antibiotics nes, in dosage, for veterinary use",1988-12,3004.20.00,"Antibiotics nes, in dosage",1989-01 to 2026-06,0.7246,,,,,unknown,,,,accept,,,analysts,2026-08-11
imports:3004.20.00.64:1991-12,17,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: lincomycin against vancomycin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.20.00.64,"Lincomycin, for human use, in dosage",1991-12,3004.20.00.63,"Vancomycin, for human use, in dosage",1988-01 to 2011-12,0.9412,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",1988-01 to 2011-12,0.7123,same family (from the tariff structure),its own leftover line (from the tariff structure),"SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,second,,,analysts,2026-08-12
exports:3004.43.00:2022-03,18,DO NOT DECIDE - the record does not call this a retirement,"SAME FRAME, DIFFERENT TERM: norephedrine against ephedrin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.43.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2022-03,3004.41.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-01 to 2026-05,0.9290,,,,,"same class (asserted, no source)",,,this one was decided and it is now HELD (the record does not call this a retirement). The hold is not a disagreement with the answer; it says the official record has not been read yet and may overturn it,reject,none,"The line was not withdrawn, so there is no successor to name. 3004.43.00 stands in Canada's published tariff across all nine vintages from 2017 to 2025, continuously, and carries no stated_termination. What stopped in 2022-03 is the export flow, CAD 486,838 across 7 months. The proposal reached the sheet through a gap in rule coverage: the closest candidate, 3004.42.00 pseudoephedrine at 0.9548, was disqualified by the stimulant rule, and 3004.41.00 ephedrine at 0.9290 was not, because the active rule names pseudoephedrine against norephedrine only and does not mention ephedrine on either side. Norephedrine and ephedrine are distinct controlled precursors with their own tariff lines, and neither succeeds the other while both exist.",analysts,2026-08-13
exports:3004.39.20:1988-12,19,CONFIRM - the evidence supports this link,,3004.39.20,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",1988-12,3004.39.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",1989-01 to 2026-06,0.9437,,,,,unknown,,,,accept,,,analysts,2026-08-11
imports:3004.40.90.60:1994-03,20,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: cocaine against morphine. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.40.90.60,"Cocaine or its derivs, for human use, in dosage",1994-03,3004.40.90.50,"Morphine or its derivs, for human use, in dosage",1988-01 to 1997-12,0.9231,3004.40.90.19,"Codeine or its derivs nes, for human use, in dosage",1988-01 to 1997-12,0.9149,"different class (asserted, no source)",a catch-all line that may cover it (read off the alternative's own wording),"NOT the proposal: it is a different kind of medicine. Neither code offered is this one's own family line, so weigh both.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,reject,3004.40.90.80,"Cocaine is a coca alkaloid and narcotic, so it belongs to the narcotic leftover line rather than the non-narcotic one, which is the opposite side from row 11. The named line in the 1998 numbering is 3004.40.00.80, but on this row that code carries a continuity veto: the row is framed at the last trading month of 1994-03 while the code was not withdrawn until 199712, and the 1998 numbering did not exist in 1994. 3004.40.90.80 is the same line under the numbering that was live then, candidate 7 at 0.7069 with no veto, and it chains into 3004.40.00.80 at the 1998 boundary. The proposal, Morphine, is a different narcotic and its 0.9231 match is the shared frame.",analysts,2026-08-12
imports:3004.20.00.66:1991-01,21,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: spectinomycin against lincomycin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.20.00.66,"Spectinomycin, for human use, in dosage",1991-01,3004.20.00.64,"Lincomycin, for human use, in dosage",1988-01 to 1991-12,0.9014,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",1988-01 to 2011-12,0.7105,same family (from the tariff structure),its own leftover line (from the tariff structure),"SECOND. The alternative is this code's own family line, which is where a closing line usually goes.","this was decided while it proposed 3004.20.00.31; it now proposes 3004.20.00.64, Lincomycin, for human use, in dosage",second,,,analysts,2026-08-12
imports:3004.90.99.93:1991-06,22,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: tranquilizer against anaesthetic. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.90.99.93,"Tranquilizers, for veterinary use, in dosage",1991-06,3004.90.99.91,"Anaesthetic, for veterinary use, in dosage",1988-01 to 1997-12,0.7805,3004.90.99.99,"Medicaments nes, for veterinary use, in dosage",1988-01 to 1997-12,0.7674,"different class (asserted, no source)",its own leftover line (from the tariff structure),"SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,second,,,analysts,2026-08-12
imports:3004.20.00.65:1989-04,23,CONFIRM - the evidence supports this link,,3004.20.00.65,"Lincomycin, for human use, in dosage",1989-04,3004.20.00.64,"Lincomycin, for human use, in dosage",1988-01 to 1991-12,1.0000,,,,,the same commodity under a new number (the two descriptions match),,,,accept,,"ACCEPT 3004.20.00.64, 2026-08-16. THIS REPLACES THE `second` RULING OF 2026-08-12, which was taken against a different proposal and is not withdrawn lightly. That ruling preferred the second alternative over 3004.20.00.63; correcting the era a candidate is read in withdrew that alternative and put 3004.20.00.64 in the proposal's place. 3004.20.00.64 carries this line's own wording word for word, 'Lincomycin, for human use, in dosage'. The earlier evidence hid it: the candidate was scored against a life that had already closed by the month the record ends this classification, which is finding 106 and the same class as M4, M6 and the 2026-08-11 concordance defect. Nothing about the goods changed. What changed is that the sheet now shows the wording the score was computed on, and on that wording the proposal is an exact match.",analysts,2026-08-16
imports:3004.40.90.11:1996-12,24,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: codeine phosphate against quinidine sulphate. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.40.90.11,"Codeine phosphate, for human use, in dosage",1996-12,3004.40.90.20,"Quinidine sulphate, for human use, in dosage",1988-02 to 1997-07,0.8434,3004.40.00.80,"Narcotic veg alkaloids or their narc derivs, nes, for human use, in dosage",1998-01 to 2011-12,0.5714,different family (from the tariff structure),its own leftover line (from the tariff structure),"SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,second,,,analysts,2026-08-12
imports:3006.80.90.42:2006-04,25,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: 40 50 against 10 39. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3006.80.90.42,Waste pharmaceuticals of the goods of subheadings 3004.40 or 3004.50,2006-04,3006.80.90.41,Waste pharmaceuticals of the goods of subheadings 3004.10 to 3004.39,2003-06 to 2006-10,0.9412,3006.92.00.00,"Waste pharmaceuticals, nes",2007-01 to 2026-06,0.5161,"different class (asserted, no source)",its own leftover line (from the tariff structure),"THE OFFICIAL RECORD NARROWED THIS ROW: the WCO 2002 to 2007 correlation sends this subheading to 300692, which no candidate trades under. The proposal rests on the correlation table and not on wording alone. The tables map six digits to six digits, so the record chose the SUBHEADING; the statistical line beneath it is still the analyst's. SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,second,,,analysts,2026-08-12
imports:3002.10.29.20:1991-04,26,CONFIRM - the evidence supports this link,,3002.10.29.20,"Blood fractions, nes, for use in animals",1991-04,3002.10.29.90,"Blood fractions, nes",1988-01 to 1997-12,0.6667,,,,,unknown,,,,accept,,,analysts,2026-08-12
imports:3006.80.90.30:2005-01,27,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: 03 against 01. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3006.80.90.30,Waste pharmaceuticals of the goods of heading 30.03,2005-01,3006.80.90.10,Waste pharmaceuticals of the goods of heading 30.01,2002-01 to 2005-10,0.9804,3006.92.00.00,"Waste pharmaceuticals, nes",2007-01 to 2026-06,0.6316,"same class (asserted, no source)",its own leftover line (from the tariff structure),"THE OFFICIAL RECORD NARROWED THIS ROW: the WCO 2002 to 2007 correlation sends this subheading to 300692, which no candidate trades under. The proposal rests on the correlation table and not on wording alone. The tables map six digits to six digits, so the record chose the SUBHEADING; the statistical line beneath it is still the analyst's. SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,reject,3006.92.00.00,"The code was withdrawn, and its successor is the 2007 collapse of the block. Canada retired every line of 3006.80 at the 2006 to 2007 boundary, 3006.80.90.10 through .60 together with 3006.80.11.00 and 3006.80.19.00, and created 3006.92.00.00, Waste pharmaceuticals, at the same boundary. This code carries stated_termination 200612. The proposal, 3006.80.90.10, waste of heading 30.01, is a sibling withdrawn on the same day, so it can never have received the trade; it reached the sheet because the retirement was framed at the last trading month, 2005-01, when that sibling was still alive. The successor aggregates: the 2007 line does not record which heading the waste came from, so ten lines become one and that granularity ends here.",analysts,2026-08-13
imports:3004.20.00.42:1990-07,28,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: kanamycin against gentamycin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.20.00.42,"Kanamycins, for human use, in dosage",1990-07,3004.20.00.41,"Gentamycins, for human use, in dosage",1988-01 to 2011-12,0.9275,3004.20.00.49,"Aminoglycoside antibiotics, nes, for human use, in dosage",1988-01 to 2011-12,0.6591,same family (from the tariff structure),its own leftover line (from the tariff structure),"SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,second,,,analysts,2026-08-12
imports:3006.80.90.20:2005-11,29,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: 02 against 05. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3006.80.90.20,Waste pharmaceuticals of the goods of heading 30.02,2005-11,3006.80.90.50,Waste pharmaceuticals of the goods of heading 30.05,2002-04 to 2006-12,0.9804,3006.92.00.00,"Waste pharmaceuticals, nes",2007-01 to 2026-06,0.6316,"same class (asserted, no source)",its own leftover line (from the tariff structure),"THE OFFICIAL RECORD NARROWED THIS ROW: the WCO 2002 to 2007 correlation sends this subheading to 300692, which no candidate trades under. The proposal rests on the correlation table and not on wording alone. The tables map six digits to six digits, so the record chose the SUBHEADING; the statistical line beneath it is still the analyst's. SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,reject,3006.92.00.00,"The code was withdrawn, and its successor is the 2007 collapse of the block. Canada retired every line of 3006.80 at the 2006 to 2007 boundary, 3006.80.90.10 through .60 together with 3006.80.11.00 and 3006.80.19.00, and created 3006.92.00.00, Waste pharmaceuticals, at the same boundary. This code carries stated_termination 200612. The proposal, 3006.80.90.50, waste of heading 30.05, is a sibling withdrawn on the same day, so it can never have received the trade; it reached the sheet because the retirement was framed at the last trading month, 2005-11, when that sibling was still alive. The successor aggregates: the 2007 line does not record which heading the waste came from, so ten lines become one and that granularity ends here.",analysts,2026-08-13
imports:3006.80.90.10:2005-10,30,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: 01 against 02. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3006.80.90.10,Waste pharmaceuticals of the goods of heading 30.01,2005-10,3006.80.90.20,Waste pharmaceuticals of the goods of heading 30.02,2004-07 to 2005-11,0.9804,3006.92.00.00,"Waste pharmaceuticals, nes",2007-01 to 2026-06,0.6316,"same class (asserted, no source)",its own leftover line (from the tariff structure),"THE OFFICIAL RECORD NARROWED THIS ROW: the WCO 2002 to 2007 correlation sends this subheading to 300692, which no candidate trades under. The proposal rests on the correlation table and not on wording alone. The tables map six digits to six digits, so the record chose the SUBHEADING; the statistical line beneath it is still the analyst's. SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,reject,3006.92.00.00,"The code was withdrawn, and its successor is the 2007 collapse of the block. Canada retired every line of 3006.80 at the 2006 to 2007 boundary, 3006.80.90.10 through .60 together with 3006.80.11.00 and 3006.80.19.00, and created 3006.92.00.00, Waste pharmaceuticals, at the same boundary. This code carries stated_termination 200612. The proposal, 3006.80.90.20, waste of heading 30.02, is a sibling withdrawn on the same day, so it can never have received the trade; it reached the sheet because the retirement was framed at the last trading month, 2005-10, when that sibling was still alive. The successor aggregates: the 2007 line does not record which heading the waste came from, so ten lines become one and that granularity ends here.",analysts,2026-08-13
imports:3004.32.00.82:2001-11,31,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: betamethasone against hydrocortisone. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.32.00.82,"Betamethasone, for human use, in dosage",2001-11,3004.32.00.11,"Hydrocortisone, for human use, in dosage",2002-01 to 2011-12,0.7733,3004.32.00.19,"Medicaments containing corticosteroid hormones, for human use, nes",2002-01 to 2011-12,0.5149,"same class (asserted, no source)",its own leftover line (from the tariff structure),"SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,accept,,,analysts,2026-08-12
exports:3002.90.10:1988-12,32,CONFIRM - the evidence supports this link,,3002.90.10,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",1988-12,3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",1989-01 to 1996-12,0.9211,,,,,a catch-all line that may cover it (read off the successor's own wording),,,,accept,,,analysts,2026-08-11
exports:3004.50.10:1988-12,33,CONFIRM - the evidence supports this link,,3004.50.10,"Vitamins and their derivatives,in dosage for human use",1988-12,3004.50.00,"Vitamins and their derivatives,in dosage",1989-01 to 2026-06,0.8511,,,,,unknown,,,,accept,,,analysts,2026-08-12
imports:3003.40.90.00:1997-12,34,CONFIRM - the evidence supports this link,,3003.40.90.00,"Alkaloids or their derivs, formltd, not cont antibiotics or horm, in bulk, nes",1997-12,3003.40.00.00,"Alkaloids or their derivs, formulated, not cont antibiotics/hormones, in bulk",1998-01 to 2016-12,0.9054,,,,,unknown,,,,accept,,,analysts,2026-08-11
exports:3002.90.20:1988-12,35,CONFIRM - the evidence supports this link,,3002.90.20,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",1988-12,3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",1989-01 to 1996-12,0.9221,,,,,unknown,,,,accept,,,analysts,2026-08-11
imports:3006.80.90.43:2005-08,36,ANALYST - a candidate is shown but NOT recommended,"the code proposed here stops trading 2 months after the one it would replace, so the two ended in the same restructuring and neither received the other's trade. Following the chain, the trade appears to end at 3006.92.00.00.",3006.80.90.43,Waste pharmaceuticals of the goods of subheading 3004.90,2005-08,3006.80.90.10,Waste pharmaceuticals of the goods of heading 30.01,2002-01 to 2005-10,0.9159,3006.92.00.00,"Waste pharmaceuticals, nes",2007-01 to 2026-06,0.5926,"different class (asserted, no source)",its own leftover line (from the tariff structure),"THE OFFICIAL RECORD NARROWED THIS ROW: the WCO 2002 to 2007 correlation sends this subheading to 300692, which no candidate trades under. The proposal rests on the correlation table and not on wording alone. The tables map six digits to six digits, so the record chose the SUBHEADING; the statistical line beneath it is still the analyst's. SECOND. The alternative is this code's own family line, which is where a closing line usually goes.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,reject,3006.92.00.00,"The code was withdrawn, and its successor is the 2007 collapse of the block. Canada retired every line of 3006.80 at the 2006 to 2007 boundary, 3006.80.90.10 through .60 together with 3006.80.11.00 and 3006.80.19.00, and created 3006.92.00.00, Waste pharmaceuticals, at the same boundary. This code carries stated_termination 200612. The proposal, 3006.80.90.10, waste of heading 30.01, is a sibling withdrawn on the same day, so it can never have received the trade; it reached the sheet because the retirement was framed at the last trading month, 2005-08, when that sibling was still alive. The successor aggregates: the 2007 line does not record which heading the waste came from, so ten lines become one and that granularity ends here.",analysts,2026-08-13
exports:3003.41.00:2020-09,37,DO NOT DECIDE - the record does not call this a retirement,,3003.41.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",2020-09,3003.42.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",2019-05 to 2024-09,0.9057,,,,,"same class (asserted, no source)",,,this one was decided and it is now HELD (the record does not call this a retirement). The hold is not a disagreement with the answer; it says the official record has not been read yet and may overturn it,reject,none,"The line was not withdrawn, so there is no successor to name. 3003.41.00 stands in the tariff across all nine vintages from 2017 to 2025 and carries no stated_termination. It traded in exactly one month, 2020-09, for CAD 16,605, which is a single shipment rather than a retirement. The proposal, pseudoephedrine, is a different controlled precursor with its own live line at 3003.42.00. The stimulant rule separates pseudoephedrine from norephedrine only and names ephedrine on neither side, so nothing stopped the swap. The delivery writes this code as 'ephedrin', which is why the rule's own note concluded the term was absent.",analysts,2026-08-13
imports:3003.42.00.00:2024-01,38,DO NOT DECIDE - the record does not call this a retirement,,3003.42.00.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",2024-01,3003.41.00.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",2017-06 to 2026-05,0.9057,,,,,"same class (asserted, no source)",,,this one was decided and it is now HELD (the record does not call this a retirement). The hold is not a disagreement with the answer; it says the official record has not been read yet and may overturn it,reject,none,"The line was not withdrawn, so there is no successor to name. 3003.42.00.00 stands in Canada's published tariff across all nine vintages from 2017 to 2025, continuously, and carries no stated_termination, while 3003.40 in the same heading was withdrawn after 2016. What stopped in 2024-01 is the import flow, and it was never more than a trickle: CAD 193 in total across 4 months, being 73 in 2022, 99 in 2023 and 21 in 2024. The proposal is the ephedrine line. Pseudoephedrine is a diastereomer of ephedrine and the tariff places them in the same one-dash group, which is why the wording matches at 0.9057, but the two subheadings exist to separate them and pseudoephedrine medicaments cannot be entered under 3003.41. Same class is the cause of the match, not evidence of succession. The subheading-residual rule does not reach this row either: 3003.41 sits inside 3003.42's own group, and tested against Canada's concordances a rule preferring the residual over a sibling contradicts the official record in 14 of 16 cases.",analysts,2026-08-13
imports:3003.90.99.00:1994-12,39,CONFIRM - the evidence supports this link,,3003.90.99.00,"Medicaments, nes, formulated, in bulk",1994-12,3003.90.99.90,"Medicaments nes, formulated, in bulk",1995-01 to 1997-12,1.0000,,,,,unknown,,,,accept,,,analysts,2026-08-12
