link_id,retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,successor,successor_description,successor_first_traded,successor_last_traded,outcome,authority,basis,detail,decided_by,decided_on,reason,overrode_a_hold
imports:3002.10.10.22:1997-12,3002.10.10.22,1,imports,199712,19609749.00,"Normal serum globulin, for therapeutic or prophylactic use in humans",3002.10.00.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.10.23:1997-12,3002.10.10.23,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",3002.10.00.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.10.29:1997-12,3002.10.10.29,1,imports,199712,377806210.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",3002.10.00.29,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.10.90:1997-12,3002.10.10.90,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",3002.10.00.30,"Antisera & o blood fractions, of human origin, for other uses",199801,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.21.10:1997-12,3002.10.21.10,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",3002.10.00.41,"Bovine albumin, for parenteral administration in humans",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.21.20:1997-12,3002.10.21.20,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",3002.10.00.42,"Sera and antisera, of animal origin, for parenteral administration in humans",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.21.90:1997-12,3002.10.21.90,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",3002.10.00.49,"Blood albumin nes, of animal origin, for parenteral administration in humans",199801,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.29.10:1997-12,3002.10.29.10,1,imports,199712,955745.00,"Blood fractions, nes, for use in humans",3002.10.00.51,"Blood fractions, nes, for use in humans",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.29.20:1991-04,3002.10.29.20,1,imports,199104,77143.00,"Blood fractions, nes, for use in animals",3002.10.29.90,"Blood fractions, nes",198801,199712,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.29.90:1997-12,3002.10.29.90,1,imports,199712,26422139.00,"Blood fractions, nes",3002.10.00.59,"Blood fractions, nes",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.11.00.00:2021-12,3002.11.00.00,1,imports,202112,3361952.00,Malaria diagnostic test kits,,,,,left_chapter,analyst,reject_none,the analyst rejected the proposal and recorded no successor in this chapter,analysts,2026-08-14,"NONE, on the official record, 2026-08-14. The WCO 2017-to-2022 correlation table maps 3002.11 to 3822.11 and to nothing else, under the new exclusion Note 1 (ij) to Chapter 30. The malaria diagnostic kits left the chapter, so no code here succeeds them. This is the import side of the ruling already made on row 73.",no
imports:3002.19.00.00:2021-12,3002.19.00.00,1,imports,202112,1629159701.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,succeeded,analyst,reject_named,the analyst rejected the proposal and named 3002.90.00.90 instead,analysts,2026-08-15,"REJECT, successor 3002.90.00.90, 2026-08-15. THIS REVERSES THE UNRESOLVED RULING OF 2026-08-14, which held the proposal wrong and the right answer not determinable. Every fact in that ruling still holds and none of it is withdrawn: the WCO 2017-to-2022 correlation addresses 3002.19 only to say the subheading 'was considered by the HS Committee to be empty and it was therefore deleted', read at the source on both of the document's independently typeset tables, and that premise is false for Canada, which imported CAD 1,629,159,701 under it. What changed is that the tariff schedules were read. In the 2021 schedule the 3002.1 group holds 3002.11, .12, .13, .14, .15 and .19 'Other'. In the 2022 schedule it holds .12, .13, .14 and .15 and NO residual at all. Under HS2022 heading 30.02 runs 3002.1 immunological products, 3002.4 vaccines, toxins and cultures, 3002.5 cell cultures, and 3002.90 'Other', which is the heading's own leftover. An immunological product that is not unmixed, not mixed and not in measured doses therefore has no line left in 3002.1x and falls to the heading residual, not to 3002.49, which is the leftover of the vaccines and toxins family. In the same month 3002.90.00.90's published wording was restated to name antisera, vaccines and cell cultures. This is the same move as rows 223 and 229, where a leftover line retires and its goods fall to the next broader leftover. Rows 210, 177 and 225 were cited here until 2026-08-18 and are NOT the same move: row 210 goes from one named vaccine line to another, and rows 177 and 225 are the glands event that row 223 already covers. Measured across the whole delivery the move occurs 10 times and carries $17,745,790,534. The tariff schedules or the WCO correlation specify or constrain the destination in six of them, which is what establishes it as a rule rather than a choice made here. Two more carry identical wording and decide themselves. This row and its export twin, row 222, are the only two where the record excludes nothing AND the wording is distant, and together they carry $1,636,154,203. THE TRADE DOES NOT CORROBORATE THIS AND IT IS NOT CLAIMED TO: 3002.19 was running at CAD 8,365,928 a month over its final two years, 3002.90.00.90 gained CAD 13,232,553 a month, and about CAD 7,933,230 of that gain is the shortfall left by toxins and cultures departing 3002.90 for 3002.49. The residue is the right order of magnitude, but 3002.15 grew CAD 75,230,388 a month across the same boundary and would hide the whole of it. The structure decides this row; the money cannot.",yes
imports:3002.20.00.10:2021-12,3002.20.00.10,1,imports,202112,902421504.00,"Vaccines against influenza virus, for human use",3002.41.00.10,"Vaccines, for against influenza virus, human medicine",202201,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3002.41.00.10 on the official record, 2026-08-14. The WCO 2017-to-2022 table maps 3002.20 to 3002.41, and Canada carried the influenza carve-out across: 3002.20.00.10 named influenza and 3002.41.00.10 names influenza. The same link was reviewed individually and approved on 2026-08-05 in the signed v1 record.",no
imports:3002.20.00.20:2011-12,3002.20.00.20,1,imports,201112,5568753.00,"Vaccines against rubella (german measles), for human use",3002.20.00.90,"Vaccines, nes, for human medicine",198801,202112,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2011 to 2012",,,,no
imports:3002.20.00.30:2011-11,3002.20.00.30,1,imports,201111,9012275.00,"Vaccines against rabies, for human use",3002.20.00.90,"Vaccines, nes, for human medicine",198801,202112,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2011 to 2012",,,,no
imports:3002.20.00.90:2021-12,3002.20.00.90,1,imports,202112,11076237268.00,"Vaccines, nes, for human medicine",3002.41.00.90,"Vaccines, o/t for against influenza virus, human medicine, nes",202201,202606,succeeded,analyst,reject_named,the analyst rejected the proposal and named 3002.41.00.90 instead,analysts,2026-08-14,"REJECT, successor 3002.41.00.90, 2026-08-14. The retiring line is the residual of 3002.20 and it lived alongside 3002.20.00.10 'Vaccines against influenza virus' from 1988-02 to 2021-12, so it was defined as the human vaccines that are NOT influenza. Canada carried the same carve-out into the new subheading and spelled it out: 3002.41.00.90 reads 'Vaccines, o/t for against influenza virus, human medicine, nes'. Sending the residual to the influenza line would move goods defined as not-influenza into influenza. The identical link was rejected at first review in the signed v1 record. The proposal outscored the residual by 0.0363 of wording, which says nothing about what the goods are.",no
imports:3002.30.00.10:2021-12,3002.30.00.10,1,imports,202112,803346426.00,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,202201,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3002.42.00.10 on the official record, 2026-08-14. The WCO 2017-to-2022 table maps 3002.30 to 3002.42, and Canada carried the split across unchanged, so the foot and mouth line goes to the foot and mouth line. The score of 0.9744 is the published abbreviation of Vaccines and nothing else.",no
imports:3002.30.00.90:2021-12,3002.30.00.90,1,imports,202112,925135646.00,"Vaccines, veterinary use, nes",3002.42.00.90,"Vaccines, veterinary use, nes",202201,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3002.42.00.90 on the official record, 2026-08-14. The WCO 2017-to-2022 table maps 3002.30 to 3002.42. Canada carried the statistical split across unchanged, so the veterinary leftover line goes to the veterinary leftover line. The two descriptions are word for word the same, 1.0000.",no
imports:3002.30.10.00:1997-12,3002.30.10.00,1,imports,199712,33376350.00,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,3002.30.00.10,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,199801,202112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.30.90.00:1997-12,3002.30.90.00,1,imports,199712,29624986.00,"Vaccines, veterinary use, nes",3002.30.00.90,"Vaccines, veterinary use, nes",199801,202112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.31.00.00:1995-07,3002.31.00.00,1,imports,199507,671805.00,"Vaccines against foot or mouth disease, veterinary use",3002.30.90.00,"Vaccines, veterinary use, nes",199601,199712,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.39.10.00:1995-12,3002.39.10.00,1,imports,199512,74686051.00,"Vaccines nes, prepared for parenteral admin in animal; bovine intranasal vaccine",3002.30.10.00,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,199601,199712,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.39.90.00:1995-12,3002.39.90.00,1,imports,199512,71013102.00,"Vaccines, veterinary use, nes",3002.30.90.00,"Vaccines, veterinary use, nes",199601,199712,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.00.10:2021-12,3002.90.00.10,1,imports,202112,825580243.00,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",3002.49.00.20,Toxins and similar products,202201,202606,succeeded,analyst,reject_named,the analyst rejected the proposal and named 3002.49.00.20 instead,analysts,2026-08-18,"HS2022 split this line. Five of its six terms kept their wording in 3002.90.00.20, which is why text ranks that line first at 0.9466, but it carries CAD 9 to 18 million a year against this line's 159 to 175 million. Toxins moved to 3002.49.00.20, which runs at 189 million in 2023, 223 million in 2024 and 269 million in 2025 and so continues the series. 2022 is a transition year in which the residual 3002.90.00.90 absorbed both dying lines, 274.9 million lost against 268.3 million gained, so no single year settles this. No official source reaches this boundary. Decided on the trade series. Also corrects Ricin and Saxitoxin, which terminated at a toxoid line.",no
imports:3002.90.00.11:2016-09,3002.90.00.11,1,imports,201609,74680.00,Ricin,3002.90.00.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",201701,202112,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.90.00.12:2016-10,3002.90.00.12,1,imports,201610,578.00,Saxitoxin,3002.90.00.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",201701,202112,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.90.00.19:2016-12,3002.90.00.19,1,imports,201612,836383694.00,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",3002.90.00.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",201701,202112,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.90.00.20:2016-12,3002.90.00.20,1,imports,201612,17636239.00,Butter-making ferment cultures,3002.90.00.90,"Human blood;animal blood for therap/prophltc/diagnostic uses;toxins,sim prod,nes",201701,202112,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.90.00.50:2021-12,3002.90.00.50,1,imports,202112,257772832.00,Micro-organisms cultures,3002.49.00.10,"Cultures, of micro-organisms (excluding yeasts) and similar products",202201,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-18,"3002.49.00.10 Cultures, of micro-organisms (excluding yeasts) and similar products is the HS2022 successor. It was not a candidate until the carve-out rung was added, finding 122: subheading 300290 survived the boundary so the ladder never widened and the receiving line sat among 110 codes never considered. Wording 0.4719 against 0.2885 for the residual it had been given, and the trade series continues: 25.8, 66.1 and 99.5 million before, 42.5, 51.5, 48.2 and 90.0 million after.",no
imports:3002.90.00.91:2016-12,3002.90.00.91,1,imports,201612,155366436.00,"Bacteria culture inoculants, for seeds",3002.90.00.90,"Human blood;animal blood for therap/prophltc/diagnostic uses;toxins,sim prod,nes",201701,202112,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.90.00.92:2016-12,3002.90.00.92,1,imports,201612,15524973.00,Whole human blood,3002.90.00.40,Whole human blood,201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.90.00.93:2016-12,3002.90.00.93,1,imports,201612,1530127.00,Antiallergenic preparations of microbial origin,3002.90.00.90,"Human blood;animal blood for therap/prophltc/diagnostic uses;toxins,sim prod,nes",201701,202112,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.90.00.99:2016-12,3002.90.00.99,1,imports,201612,685125802.00,"Human blood;anml blood therap/prophltc/diag uses;toxins,micro-organisms cult,nes",3002.90.00.90,"Human blood;animal blood for therap/prophltc/diagnostic uses;toxins,sim prod,nes",201701,202112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.10.10:1996-12,3002.90.10.10,1,imports,199612,17090674.00,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",3002.90.00.19,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-11,,no
imports:3002.90.10.11:1997-12,3002.90.10.11,1,imports,199712,33472.00,Ricin,3002.90.00.11,Ricin,199801,201609,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.10.19:1997-12,3002.90.10.19,1,imports,199712,6387863.00,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",3002.90.00.19,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.10.20:1997-12,3002.90.10.20,1,imports,199712,17995840.00,Ferment cultures,3002.90.00.20,Butter-making ferment cultures,199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.10.30:1997-12,3002.90.10.30,1,imports,199712,5096986.00,Dried blood of human origin,3002.90.00.99,"Human blood, animal blood for therap, prophltc or diag uses, microbial prep, nes",199801,201112,succeeded,analyst,reject_named,the analyst rejected the proposal and named 3002.90.00.99 instead,analysts,2026-08-12,"There is no dried human blood line in the receiving block, so the goods fall to its leftover. The closest wording, 3002.90.00.30 Dried blood of animal origin at 0.8727, was removed by the origin rule and is correctly gone. The nearest human line is 3002.90.00.92 Whole human blood, and dried blood is not whole blood. That leaves 3002.90.00.99 Other, candidate 5 at 0.3107 with no veto. 3002.90.00.90 carries the same meaning but a continuity veto, so the era-correct residual is the one named. The proposal, Antiallergenic preparations of microbial origin at 0.4595, is a different family and sits below the review threshold.",no
imports:3002.90.10.40:1997-12,3002.90.10.40,1,imports,199712,2070092.00,Dried blood of animal origin,3002.90.00.30,Dried blood of animal origin,199802,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.90.10:1997-12,3002.90.90.10,1,imports,199712,30779871.00,Bacteria culture inoculants for seeds,3002.90.00.91,Bacteria culture inoculants for seeds,199801,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.90.20:1997-06,3002.90.90.20,1,imports,199706,1607419.00,Whole human blood,3002.90.00.92,Whole human blood,199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.90.30:1997-09,3002.90.90.30,1,imports,199709,96578.00,Antiallergenic preparations of microbial origin,3002.90.00.93,Antiallergenic preparations of microbial origin,199802,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.90.90.90:1997-12,3002.90.90.90,1,imports,199712,69506433.00,"Human blood, animal blood for therap, prophltc or diag uses, microbial prep, nes",3002.90.00.99,"Human blood, animal blood for therap, prophltc or diag uses, microbial prep, nes",199801,201112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3003.31.00.00:2026-03,3003.31.00.00,1,imports,202603,2797436.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",,,,no
imports:3003.31.00.10:2011-08,3003.31.00.10,1,imports,201108,77748.00,"Insulin, prepared for parenteral administration in humans, in bulk",3003.31.00.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",201201,202603,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2011 to 2012",,,,no
imports:3003.31.00.90:2011-12,3003.31.00.90,1,imports,201112,5331921.00,"Insulin, formulated, in bulk, nes",3003.31.00.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",201201,202603,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2011 to 2012",,,,no
imports:3003.31.10.00:1997-10,3003.31.10.00,1,imports,199710,4350765.00,"Insulin, prepared for parenteral administration in humans, in bulk",3003.31.00.10,"Insulin, prepared for parenteral administration in humans, in bulk",199802,201108,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3003.31.91.00:1990-05,3003.31.91.00,1,imports,199005,129843.00,"Insulin, cont more than 23% of absolute ethyl alcohol by volume, in bulk",3003.31.99.00,"Insulin, formulated, in bulk, nes",198801,199712,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3003.31.99.00:1997-12,3003.31.99.00,1,imports,199712,3974845.00,"Insulin, formulated, in bulk, nes",3003.31.00.90,"Insulin, formulated, in bulk, nes",199801,201112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3003.39.00.10:2011-12,3003.39.00.10,1,imports,201112,4162382.00,"Epinephrine and its solutions, prepared for parenteral admin in humans, in bulk",3003.39.00.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",201201,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2011 to 2012",,,,no
imports:3003.39.00.90:2011-12,3003.39.00.90,1,imports,201112,151533683.00,"Hormones, nes, not containing antibiotics, in bulk, o/t contraceptives",3003.39.00.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",201201,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2011 to 2012",,,,no
imports:3003.39.10.00:1997-12,3003.39.10.00,1,imports,199712,724092.00,"Epinephrine & its solutions, prepared for parenteral admin in humans, in bulk",3003.39.00.10,"Epinephrine & its solutions, prepared for parenteral admin in humans, in bulk",199801,200110,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3003.39.91.00:1997-07,3003.39.91.00,1,imports,199707,10184.00,"Hormones, containing more than 23% of absolute ethyl alcohol by volume, in bulk",3003.39.00.90,"Hormones, nes, not containing antibiotics, in bulk, o/t contraceptives",199801,201112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3003.39.99.00:1997-12,3003.39.99.00,1,imports,199712,41099945.00,"Hormones, nes, not cont antibiotics, in bulk, o/t contraceptives",3003.39.00.90,"Hormones, nes, not containing antibiotics, in bulk, o/t contraceptives",199801,201112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3003.40.00.00:2016-12,3003.40.00.00,1,imports,201612,112415829.00,"Alkaloids or their derivs, formulated, not cont antibiotics/hormones, in bulk",3003.49.00.00,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201701,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3003.40.10.00:1993-08,3003.40.10.00,1,imports,199308,12838.00,"Alkaloids or their derivs, cont more than 23% of absol ethyl alc by vol, in bulk",3003.40.90.00,"Alkaloids or their derivs, formltd, not cont antibiotics or horm, in bulk, nes",198802,199712,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
