link_id,decision,decided_on,decided_on_basis,decided_on_source,changed_after_first_entry
exports:3002.39.00:1995-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
exports:3002.90.00:1996-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
exports:3002.90.20:2016-11,reject,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5c69e449e,no
exports:3003.31.00:1991-03,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
exports:3003.42.00:2024-09,reject,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
exports:3003.60.00:2023-08,reject,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
exports:3004.32.10:1988-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
exports:3004.32.20:1988-11,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
exports:3004.50.10:1988-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",8818e2879,no
exports:3004.50.20:1988-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3001.90.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3001.90.20.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3001.90.90.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.00.30:2016-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.00.90:2016-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.10.10:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.10.21:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.10.22:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.10.23:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.10.29:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.10.90:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.21.10:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.21.20:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.21.90:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.29.10:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.10.29.20:1991-04,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",b19323537,no
imports:3002.10.29.90:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.30.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.30.90.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.31.00.00:1995-07,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3002.39.10.00:1995-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3002.39.90.00:1995-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3002.90.00.10:2021-12,accept,2026-08-12,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,1c2000205,yes
imports:3002.90.00.50:2021-12,accept,2026-08-12,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,1c2000205,yes
imports:3002.90.00.99:2016-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.90.10.11:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.90.10.19:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.90.10.20:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.90.10.30:1997-12,reject,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3002.90.10.40:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.90.90.10:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.90.90.20:1997-06,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3002.90.90.30:1997-09,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3002.90.90.90:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3003.31.10.00:1997-10,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3003.31.91.00:1990-05,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3003.31.99.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3003.39.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3003.39.91.00:1997-07,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5c69e449e,no
imports:3003.39.99.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3003.40.00.00:2016-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5c69e449e,no
imports:3003.40.10.00:1993-08,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3003.90.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3003.90.91.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3003.90.99.00:1994-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3003.90.99.10:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3003.90.99.90:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.10.00.14:1991-12,accept,2026-08-12,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,1c2000205,yes
imports:3004.20.00.42:1990-07,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",b19323537,no
imports:3004.20.00.52:1996-11,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",e9d0ce534,no
imports:3004.20.00.64:1991-12,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",e9d0ce534,no
imports:3004.20.00.65:1989-04,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",e9d0ce534,no
imports:3004.20.00.66:1991-01,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",e9d0ce534,no
imports:3004.20.00.70:1988-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.31.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.31.99.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.32.00.10:2001-12,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",1c2000205,no
imports:3004.32.00.81:2001-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.32.00.82:2001-11,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",b19323537,no
imports:3004.32.00.90:2001-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",04940c305,no
imports:3004.32.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.32.90.11:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3004.32.90.12:1997-06,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",e9d0ce534,no
imports:3004.32.90.19:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.32.90.20:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.39.00.10:2011-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5c69e449e,no
imports:3004.39.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.39.91.00:1997-09,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.39.99.10:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.39.99.20:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.39.99.30:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.39.99.40:1997-11,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.39.99.50:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.39.99.60:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.40.00.90:2016-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.40.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.40.90.11:1996-12,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",b19323537,no
imports:3004.40.90.19:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.40.90.20:1997-07,reject,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",04940c305,no
imports:3004.40.90.30:1997-11,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.40.90.40:1997-11,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.40.90.50:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.40.90.60:1994-03,reject,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",e9d0ce534,no
imports:3004.40.90.70:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.40.90.80:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.40.90.90:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.50.00.20:2011-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",1c2000205,no
imports:3004.50.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.50.91.00:1997-06,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.50.99.11:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.50.99.12:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.50.99.19:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.50.99.20:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.50.99.21:1989-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3004.50.99.22:1989-12,accept,2026-08-12,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,1c2000205,yes
imports:3004.50.99.29:1989-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",2728301f1,no
imports:3004.50.99.30:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",1c2000205,no
imports:3004.50.99.41:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.50.99.49:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.50.99.50:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.00.20:2011-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",1c2000205,no
imports:3004.90.00.31:2017-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.00.32:2017-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.00.33:2017-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.00.34:2017-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.00.35:2017-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.00.36:2017-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.00.39:2017-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.10.10:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.10.20:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.91.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.11:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.12:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.13:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.14:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.15:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.16:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.19:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.21:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.22:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.23:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.29:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.30:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.41:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.49:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.50:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.90.99.60:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.71:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.79:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.81:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.82:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.83:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.90.99.84:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.89:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.91:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3004.90.99.92:1991-06,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3004.90.99.93:1991-06,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",e9d0ce534,no
imports:3004.90.99.99:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.10.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.10.91.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.10.99.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.90.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.90.20.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.90.30.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.90.91.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.90.92.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.90.93.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3005.90.99.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
