uid,orig_commodity,orig_hs_code,orig_description,orig_first_period,orig_last_period,family_id,latest_commodity,latest_hs_code,latest_description,latest_status,v1_uid,v1_family_id
EXR-30029090-201701,"3002.90.90 - Human blood;anml blood therap/prophltc/diag uses;toxins,micro-orga cult,sim,nes",3002.90.90,"Human blood;animal blood therapeutic/prophylactic/diagnostic uses;toxins,micro-organism culture,similar,not elsewhere specified",2017-01,2021-12,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,EXR_0028,EX_0020
EXR-30029090-202201,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",2022-01,2026-06,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,EXR_0027,EX_0020
EXR-30031000-198801,"3003.10.00 - Penicillins or streptomycins and their derivatives, formulated, in bulk",3003.10.00,"Penicillins or streptomycins and their derivatives, formulated, in bulk",1988-01,2000-12,EX-30031000-198801,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",3003.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,not for retail sale",not_a_retirement,EXR_0030,EX_0021
EXR-30031000-200204,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",3003.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,not for retail sale",2002-04,2026-05,EX-30031000-198801,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",3003.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,not for retail sale",not_a_retirement,EXR_0029,EX_0021
EXR-30032000-198801,"3003.20.00 - Antibiotics nes, formulated, in bulk",3003.20.00,"Antibiotics not elsewhere specified, formulated, in bulk",1988-01,2001-12,EX-30032000-198801,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",3003.20.00,"Medicaments,containing antibiotics,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0031,EX_0022
EXR-30032000-200201,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",3003.20.00,"Medicaments,containing antibiotics,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-01,2026-06,EX-30032000-198801,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",3003.20.00,"Medicaments,containing antibiotics,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0032,EX_0022
EXR-30033100-198801,"3003.31.00 - Insulin, formulated, in bulk",3003.31.00,"Insulin, formulated, in bulk",1988-01,1993-04,EX-30033100-198801,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,,
EXR-30033100-200203,"3003.31.00 - Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",3003.31.00,"Medicaments,containing insulin,mixed,not in doses/forms/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-03,2025-05,EX-30033100-200203,"3003.31.00 - Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",3003.31.00,"Medicaments,containing insulin,mixed,not in doses/forms/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",not_a_retirement,EXR_0033,EX_0023
EXR-30033900-198801,"3003.39.00 - Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",3003.39.00,"Hormones not elsewhere specified, formulated, not cntg antibiotics, in bulk, other than contraceptives",1988-01,2001-11,EX-30033900-198801,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",3003.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,not for retail sale",active,EXR_0034,EX_0024
EXR-30033900-200201,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",3003.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,not for retail sale",2002-01,2026-06,EX-30033900-198801,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",3003.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,not for retail sale",active,EXR_0035,EX_0024
EXR-30034000-198804,"3003.40.00 - Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk (Terminated 2016-12)",3003.40.00,"Alkaloids or their derivatives, formulated, not cntg antibiotics or hormones, in bulk",1988-04,2016-11,EX-30034000-198804,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",3003.49.00,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0036,EX_0025
EXR-30034100-202009,"3003.41.00 - Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003.41.00,"Medicaments,containing ephedrin/salts,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2020-09,2020-09,EX-30034100-202009,"3003.41.00 - Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003.41.00,"Medicaments,containing ephedrin/salts,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",not_a_retirement,EXR_0037,EX_0026
EXR-30034200-201905,"3003.42.00 - Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",3003.42.00,"Medicaments,containing pseudoephedrine/sa,mixed,therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2019-05,2024-09,EX-30034200-201905,"3003.42.00 - Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",3003.42.00,"Medicaments,containing pseudoephedrine/sa,mixed,therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",not_a_retirement,EXR_0038,EX_0027
EXR-30034900-201805,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",3003.49.00,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2018-05,2026-06,EX-30034000-198804,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",3003.49.00,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0039,EX_0025
EXR-30036000-201812,"3003.60.00 - Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",3003.60.00,"Medicaments,containing antimalarial active principles,mixed,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2018-12,2023-08,EX-30036000-201812,"3003.60.00 - Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",3003.60.00,"Medicaments,containing antimalarial active principles,mixed,not for retail sale,other than products of headings 30.02, 30.05, 30.06",not_a_retirement,EXR_0040,EX_0029
EXR-30039000-198801,"3003.90.00 - Medicaments nes, formulated, in bulk",3003.90.00,"Medicaments not elsewhere specified, formulated, in bulk",1988-01,2016-12,EX-30033100-198801,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0041,EX_0030
EXR-30039000-201701,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2026-06,EX-30033100-198801,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0042,EX_0030
EXR-30041000-198901,"3004.10.00 - Penicillins or streptomycins and their derivatives, in dosage",3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",1989-01,2001-12,EX-30041010-198801,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",active,EXR_0044,EX_0031
EXR-30041000-200201,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",2002-01,2026-06,EX-30041010-198801,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",active,EXR_0043,EX_0031
EXR-30041010-198801,"3004.10.10 - Penicillins or streptomycins and their derivatives,in dosage,for human use (Terminated 1988-12)",3004.10.10,"Penicillins or streptomycins and their derivatives,in dosage,for human use",1988-01,1988-12,EX-30041010-198801,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",active,,
EXR-30041020-198801,"3004.10.20 - Penicillins or streptomycins and their derivatives,in dosage,for vet use (Terminated 1988-12)",3004.10.20,"Penicillins or streptomycins and their derivatives,in dosage,for veterinary use",1988-01,1988-12,EX-30041010-198801,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",active,,
EXR-30042000-198901,"3004.20.00 - Antibiotics nes, in dosage",3004.20.00,"Antibiotics not elsewhere specified, in dosage",1989-01,2001-12,EX-30042010-198801,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0045,EX_0032
EXR-30042000-200201,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-01,2026-06,EX-30042010-198801,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0046,EX_0032
EXR-30042010-198801,"3004.20.10 - Antibiotics nes, in dosage, for human use (Terminated 1988-12)",3004.20.10,"Antibiotics not elsewhere specified, in dosage, for human use",1988-01,1988-12,EX-30042010-198801,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",active,,
EXR-30042020-198801,"3004.20.20 - Antibiotics nes, in dosage, for veterinary use (Terminated 1988-12)",3004.20.20,"Antibiotics not elsewhere specified, in dosage, for veterinary use",1988-01,1988-12,EX-30042010-198801,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",active,,
EXR-30043100-198803,"3004.31.00 - Insulin, in dosage",3004.31.00,"Insulin, in dosage",1988-03,1999-09,EX-30043100-198803,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",3004.31.00,"Medicaments,containing insulin,in doses/forms/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",active,,
EXR-30043100-200207,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",3004.31.00,"Medicaments,containing insulin,in doses/forms/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-07,2026-06,EX-30043100-198803,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",3004.31.00,"Medicaments,containing insulin,in doses/forms/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0047,EX_0033
EXR-30043200-198901,"3004.32.00 - Adrenal cortical hormones, not containing antibiotics, in dosage",3004.32.00,"Adrenal cortical hormones, not containing antibiotics, in dosage",1989-01,2001-12,EX-30043210-198801,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0048,EX_0034
EXR-30043200-200201,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-01,2026-06,EX-30043210-198801,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",active,EXR_0049,EX_0034
EXR-30043210-198801,"3004.32.10 - Adrenal cortical hormones, in dosage, for human use (Terminated 1988-12)",3004.32.10,"Adrenal cortical hormones, in dosage, for human use",1988-01,1988-12,EX-30043210-198801,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",active,,
EXR-30043220-198802,"3004.32.20 - Adrenal cortical hormones, in dosage, for veterinary use (Terminated 1988-12)",3004.32.20,"Adrenal cortical hormones, in dosage, for veterinary use",1988-02,1988-11,EX-30043210-198801,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",active,,
