uid,orig_commodity,orig_first_period,orig_last_period,orig_status,n_steps_in_chain,journey,family_id,latest_commodity,final_status
EXR-30021500-201701,"3002.15.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",2017-01,2026-06,active,1,3002.15.00,EX-30021500-201701,"3002.15.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",active
EXR-30021900-201701,"3002.19.00 - Immunological products, nes, w/n modified/obtained by biotechnological processes (Terminated 2021-12)",2017-01,2021-12,succeeded,2,3002.19.00 -> 3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30022000-198801,"3002.20.00 - Vaccines, human use (Terminated 2021-12)",1988-01,2001-12,succeeded,2,3002.20.00 -> 3002.41.00,EX-30022000-198801,"3002.41.00 - Vaccines, for human medicine",active
EXR-30022000-200201,3002.20.00 - Vaccines for human medicine (Terminated 2021-12),2002-01,2021-12,succeeded,2,3002.20.00 -> 3002.41.00,EX-30022000-198801,"3002.41.00 - Vaccines, for human medicine",active
EXR-30023000-201701,"3002.30.00 - Vaccines, for veterinary medecine (Terminated 2021-12)",2017-01,2021-12,succeeded,2,3002.30.00 -> 3002.42.00,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR-30023010-199602,"3002.30.10 - Vaccines against foot or mouth disease, veterinary use (Terminated 2016-12)",1996-02,2016-06,succeeded,3,3002.30.10 -> 3002.30.00 -> 3002.42.00,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR-30023090-199601,"3002.30.90 - Vaccines, veterinary use, nes (Terminated 2016-12)",1996-01,2016-12,succeeded,3,3002.30.90 -> 3002.30.00 -> 3002.42.00,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR-30023100-198801,"3002.31.00 - Vaccines against foot or mouth disease, veterinary use (Terminated 1995-12)",1988-01,1995-12,succeeded,4,3002.31.00 -> 3002.30.10 -> 3002.30.00 -> 3002.42.00,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR-30023900-198801,"3002.39.00 - Vaccines, veterinary use, nes (Terminated 1995-12)",1988-01,1995-12,succeeded,4,3002.39.00 -> 3002.30.90 -> 3002.30.00 -> 3002.42.00,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR-30024100-202201,"3002.41.00 - Vaccines, for human medicine",2022-01,2026-06,active,1,3002.41.00,EX-30022000-198801,"3002.41.00 - Vaccines, for human medicine",active
EXR-30024200-202201,"3002.42.00 - Vaccines, for veterinary medecine",2022-01,2026-06,active,1,3002.42.00,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR-30024900-202201,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",2022-01,2026-06,active,1,3002.49.00,EX-30024900-202201,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",active
EXR-30025100-202202,"3002.51.00 - Cell therapy products, whether or not modified",2022-02,2026-06,active,1,3002.51.00,EX-30025100-202202,"3002.51.00 - Cell therapy products, whether or not modified",active
EXR-30025900-202202,"3002.59.00 - Cell cultures, whether or not modified, nes",2022-02,2026-06,active,1,3002.59.00,EX-30025900-202202,"3002.59.00 - Cell cultures, whether or not modified, nes",active
EXR-30029000-198901,"3002.90.00 - Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes (Terminated 1996-12)",1989-01,1996-12,succeeded,2,3002.90.00 -> 3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30029010-198801,"3002.90.10 - Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",1988-01,1988-12,succeeded,3,3002.90.10 -> 3002.90.00 -> 3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30029010-199712,3002.90.10 - Ricin,1997-12,2026-06,active,1,3002.90.10,EX-30029010-199712,3002.90.10 - Ricin,active
EXR-30029020-198801,"3002.90.20 - Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use (Terminated 2016-12)",1988-01,1988-12,succeeded,3,3002.90.20 -> 3002.90.00 -> 3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30029020-199705,3002.90.20 - Saxitoxin (Terminated 2016-12),1997-05,2016-11,succeeded,2,3002.90.20 -> 3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30029090-199701,"3002.90.90 - Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",1997-01,2011-12,active,1,3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30029090-201201,"3002.90.90 - Human blood; animal blood for therap/prophltc/diag uses;micro-organisms cult,nes",2012-01,2016-12,active,1,3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30029090-201701,"3002.90.90 - Human blood;anml blood therap/prophltc/diag uses;toxins,micro-orga cult,sim,nes",2017-01,2021-12,active,1,3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30029090-202201,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",2022-01,2026-06,active,1,3002.90.90,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR-30031000-198801,"3003.10.00 - Penicillins or streptomycins and their derivatives, formulated, in bulk",1988-01,2000-12,not_a_retirement,1,3003.10.00,EX-30031000-198801,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",not_a_retirement
EXR-30031000-200204,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",2002-04,2026-05,not_a_retirement,1,3003.10.00,EX-30031000-198801,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",not_a_retirement
EXR-30032000-198801,"3003.20.00 - Antibiotics nes, formulated, in bulk",1988-01,2001-12,active,1,3003.20.00,EX-30032000-198801,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR-30032000-200201,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",2002-01,2026-06,active,1,3003.20.00,EX-30032000-198801,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR-30033100-198801,"3003.31.00 - Insulin, formulated, in bulk",1988-01,1993-04,succeeded,2,3003.31.00 -> 3003.90.00,EX-30033100-198801,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",active
EXR-30033100-200203,"3003.31.00 - Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",2002-03,2025-05,not_a_retirement,1,3003.31.00,EX-30033100-200203,"3003.31.00 - Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",not_a_retirement
EXR-30033900-198801,"3003.39.00 - Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",1988-01,2001-11,active,1,3003.39.00,EX-30033900-198801,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",active
EXR-30033900-200201,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",2002-01,2026-06,active,1,3003.39.00,EX-30033900-198801,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",active
EXR-30034000-198804,"3003.40.00 - Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk (Terminated 2016-12)",1988-04,2016-11,succeeded,2,3003.40.00 -> 3003.49.00,EX-30034000-198804,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR-30034100-202009,"3003.41.00 - Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",2020-09,2020-09,not_a_retirement,1,3003.41.00,EX-30034100-202009,"3003.41.00 - Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",not_a_retirement
EXR-30034200-201905,"3003.42.00 - Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",2019-05,2024-09,not_a_retirement,1,3003.42.00,EX-30034200-201905,"3003.42.00 - Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",not_a_retirement
EXR-30034900-201805,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",2018-05,2026-06,active,1,3003.49.00,EX-30034000-198804,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR-30036000-201812,"3003.60.00 - Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",2018-12,2023-08,not_a_retirement,1,3003.60.00,EX-30036000-201812,"3003.60.00 - Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",not_a_retirement
EXR-30039000-198801,"3003.90.00 - Medicaments nes, formulated, in bulk",1988-01,2016-12,active,1,3003.90.00,EX-30033100-198801,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",active
EXR-30039000-201701,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",2017-01,2026-06,active,1,3003.90.00,EX-30033100-198801,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",active
EXR-30041000-198901,"3004.10.00 - Penicillins or streptomycins and their derivatives, in dosage",1989-01,2001-12,active,1,3004.10.00,EX-30041010-198801,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",active
EXR-30041000-200201,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",2002-01,2026-06,active,1,3004.10.00,EX-30041010-198801,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",active
EXR-30041010-198801,"3004.10.10 - Penicillins or streptomycins and their derivatives,in dosage,for human use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.10.10 -> 3004.10.00,EX-30041010-198801,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",active
EXR-30041020-198801,"3004.10.20 - Penicillins or streptomycins and their derivatives,in dosage,for vet use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.10.20 -> 3004.10.00,EX-30041010-198801,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",active
EXR-30042000-198901,"3004.20.00 - Antibiotics nes, in dosage",1989-01,2001-12,active,1,3004.20.00,EX-30042010-198801,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR-30042000-200201,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",2002-01,2026-06,active,1,3004.20.00,EX-30042010-198801,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR-30042010-198801,"3004.20.10 - Antibiotics nes, in dosage, for human use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.20.10 -> 3004.20.00,EX-30042010-198801,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR-30042020-198801,"3004.20.20 - Antibiotics nes, in dosage, for veterinary use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.20.20 -> 3004.20.00,EX-30042010-198801,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR-30043100-198803,"3004.31.00 - Insulin, in dosage",1988-03,1999-09,active,1,3004.31.00,EX-30043100-198803,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",active
EXR-30043100-200207,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",2002-07,2026-06,active,1,3004.31.00,EX-30043100-198803,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",active
EXR-30043200-198901,"3004.32.00 - Adrenal cortical hormones, not containing antibiotics, in dosage",1989-01,2001-12,active,1,3004.32.00,EX-30043210-198801,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",active
EXR-30043200-200201,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",2002-01,2026-06,active,1,3004.32.00,EX-30043210-198801,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",active
EXR-30043210-198801,"3004.32.10 - Adrenal cortical hormones, in dosage, for human use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.32.10 -> 3004.32.00,EX-30043210-198801,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",active
EXR-30043220-198802,"3004.32.20 - Adrenal cortical hormones, in dosage, for veterinary use (Terminated 1988-12)",1988-02,1988-11,succeeded,2,3004.32.20 -> 3004.32.00,EX-30043210-198801,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",active
EXR-30043900-198901,"3004.39.00 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",1989-01,2001-12,active,1,3004.39.00,EX-30043910-198801,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",active
EXR-30043900-200201,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",2002-01,2026-06,active,1,3004.39.00,EX-30043910-198801,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",active
EXR-30043910-198801,"3004.39.10 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.39.10 -> 3004.39.00,EX-30043910-198801,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",active
EXR-30043920-198801,"3004.39.20 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.39.20 -> 3004.39.00,EX-30043910-198801,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",active
EXR-30044000-198801,"3004.40.00 - Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage (Terminated 2016-12)",1988-01,2016-12,succeeded,2,3004.40.00 -> 3004.49.00,EX-30044000-198801,"3004.49.00 - Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",active
EXR-30044100-201701,"3004.41.00 - Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-01,2026-05,not_a_retirement,1,3004.41.00,EX-30044100-201701,"3004.41.00 - Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",not_a_retirement
EXR-30044200-201701,"3004.42.00 - Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-01,2026-06,active,1,3004.42.00,EX-30044200-201701,"3004.42.00 - Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR-30044300-201703,"3004.43.00 - Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-03,2022-03,not_a_retirement,1,3004.43.00,EX-30044300-201703,"3004.43.00 - Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",not_a_retirement
EXR-30044900-201701,"3004.49.00 - Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",2017-01,2026-06,active,1,3004.49.00,EX-30044000-198801,"3004.49.00 - Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",active
EXR-30045000-198901,"3004.50.00 - Vitamins and their derivatives,in dosage",1989-01,2001-12,active,1,3004.50.00,EX-30045010-198801,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",active
EXR-30045000-200201,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",2002-01,2026-06,active,1,3004.50.00,EX-30045010-198801,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",active
EXR-30045010-198801,"3004.50.10 - Vitamins and their derivatives,in dosage for human use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.50.10 -> 3004.50.00,EX-30045010-198801,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",active
EXR-30045020-198801,"3004.50.20 - Vitamins and their derivatives,in dosage for veterinary use (Terminated 1988-12)",1988-01,1988-12,succeeded,2,3004.50.20 -> 3004.50.00,EX-30045010-198801,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",active
EXR-30046000-201701,"3004.60.00 - Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",2017-01,2026-06,active,1,3004.60.00,EX-30046000-201701,"3004.60.00 - Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",active
EXR-30049000-198901,"3004.90.00 - Medicaments nes, in dosage (Terminated 2017-12)",1989-01,2016-12,succeeded,2,3004.90.00 -> 3004.90.90,EX-30049010-198801,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",active
EXR-30049000-201701,"3004.90.00 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06 (Terminated 2017-12)",2017-01,2017-12,succeeded,2,3004.90.00 -> 3004.90.90,EX-30049010-198801,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",active
EXR-30049010-198801,"3004.90.10 - Medicaments nes, in dosage, for human use",1988-01,1988-12,succeeded,3,3004.90.10 -> 3004.90.00 -> 3004.90.90,EX-30049010-198801,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",active
EXR-30049010-201802,"3004.90.10 - Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",2018-02,2026-06,active,1,3004.90.10,EX-30049010-201802,"3004.90.10 - Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",active
EXR-30049020-198801,"3004.90.20 - Medicaments nes, in dosage, for veterinary use (Terminated 1988-12)",1988-01,1988-12,succeeded,3,3004.90.20 -> 3004.90.00 -> 3004.90.90,EX-30049010-198801,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",active
EXR-30049090-201801,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",2018-01,2026-06,active,1,3004.90.90,EX-30049010-198801,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",active
EXR-30051000-198801,3005.10.00 - Dressings and other articles having an adhesive layer,1988-01,2026-06,active,1,3005.10.00,EX-30051000-198801,3005.10.00 - Dressings and other articles having an adhesive layer,active
EXR-30059000-198801,"3005.90.00 - Dressings & similar articles,impreg or coated or packaged for med use, nes",1988-01,2026-06,active,1,3005.90.00,EX-30059000-198801,"3005.90.00 - Dressings & similar articles,impreg or coated or packaged for med use, nes",active
EXR-30061000-198801,"3006.10.00 - Suture materials,sterile;laminaria, sterie;haemostatics,sterile,surg or dental",1988-01,2001-06,active,1,3006.10.00,EX-30061000-198801,"3006.10.00 - Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",active
EXR-30061000-200201,"3006.10.00 - Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",2002-01,2026-06,active,1,3006.10.00,EX-30061000-198801,"3006.10.00 - Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",active
EXR-30062000-198801,3006.20.00 - Blood-grouping reagents (Terminated 2021-12),1988-01,2021-12,left_chapter,1,3006.20.00,EX-30062000-198801,3006.20.00 - Blood-grouping reagents (Terminated 2021-12),left_chapter
EXR-30063000-198801,"3006.30.00 - Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",1988-01,2026-06,active,1,3006.30.00,EX-30063000-198801,"3006.30.00 - Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",active
EXR-30064000-198801,3006.40.00 - Dental cements & other dental fillings; bone reconstruction cements,1988-01,2026-06,active,1,3006.40.00,EX-30064000-198801,3006.40.00 - Dental cements & other dental fillings; bone reconstruction cements,active
EXR-30065000-198801,3006.50.00 - First-aid boxes and kits,1988-01,2026-06,active,1,3006.50.00,EX-30065000-198801,3006.50.00 - First-aid boxes and kits,active
EXR-30066000-198801,"3006.60.00 - Contraceptive prep based on hormones, on other prod of No 29.37 or spermicides",1988-01,2001-12,active,1,3006.60.00,EX-30066000-198801,"3006.60.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",active
EXR-30066000-200201,"3006.60.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",2002-01,2026-06,active,1,3006.60.00,EX-30066000-198801,"3006.60.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",active
EXR-30067000-200205,"3006.70.00 - Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",2002-05,2026-06,active,1,3006.70.00,EX-30067000-200205,"3006.70.00 - Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",active
EXR-30068000-200209,3006.80.00 - Waste pharmaceuticals (Terminated 2006-12),2002-09,2006-12,succeeded,2,3006.80.00 -> 3006.92.00,EX-30068000-200209,"3006.92.00 - Waste pharmaceuticals, nes",active
EXR-30069100-200702,3006.91.00 - Appliances identifiable for ostomy use,2007-02,2026-06,active,1,3006.91.00,EX-30069100-200702,3006.91.00 - Appliances identifiable for ostomy use,active
EXR-30069200-200703,"3006.92.00 - Waste pharmaceuticals, nes",2007-03,2026-06,active,1,3006.92.00,EX-30068000-200209,"3006.92.00 - Waste pharmaceuticals, nes",active
EXR-30069300-202201,"3006.93.00 - Placebos,blinded or double blinded clinical trial kits, put up in measured doses",2022-01,2026-06,active,1,3006.93.00,EX-30069300-202201,"3006.93.00 - Placebos,blinded or double blinded clinical trial kits, put up in measured doses",active
